,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2017-07-01 00:00:00+02:00,34.5,916.3,0.0,3.072,0.096,64.69200000000001,336.20000000000005,0.0,212.1106,2.064,1.9249999999999998
2017-07-01 01:00:00+02:00,34.730000000000004,928.06,0.0,2.232,0.096,64.69200000000001,334.56,0.0,208.42172000000002,2.964,2.046
2017-07-01 02:00:00+02:00,34.96,917.77,0.0,2.544,0.096,64.70400000000001,293.56,0.0,212.1106,3.228,2.178
2017-07-01 03:00:00+02:00,33.35,864.36,0.0,8.16,0.096,64.728,272.24,0.0,209.34394,5.208,2.53
2017-07-01 04:00:00+02:00,34.04,938.35,0.0,19.968,0.096,64.74,258.3,0.0,202.88840000000002,6.18,2.8489999999999998
2017-07-01 05:00:00+02:00,33.35,943.25,0.0,20.568,0.096,64.776,334.56,0.0,202.88840000000002,6.492,3.146
2017-07-01 06:00:00+02:00,32.89,915.81,0.0,15.456,0.096,64.752,345.22,0.28700000000000003,203.81062,7.2,3.146
2017-07-01 07:00:00+02:00,32.660000000000004,936.39,0.0,3.6,0.096,64.752,426.40000000000003,1.681,206.57728,9.120000000000001,4.069999999999999
2017-07-01 08:00:00+02:00,32.89,942.27,0.0,1.44,0.12,64.788,460.02000000000004,4.141,209.34394,9.012,4.465999999999999
2017-07-01 09:00:00+02:00,33.120000000000005,973.63,0.0,1.296,0.168,64.848,505.94000000000005,8.487,201.04396,9.228,4.707999999999999
2017-07-01 10:00:00+02:00,33.58,976.0799999999999,0.0,0.048,0.168,64.896,560.88,14.473,192.74398000000002,9.18,4.476999999999999
2017-07-01 11:00:00+02:00,34.04,998.62,0.0,2.544,0.216,64.908,549.4000000000001,15.58,190.89954,9.432,3.839
2017-07-01 12:00:00+02:00,33.35,1044.19,0.0,3.336,0.216,64.932,558.4200000000001,14.227,191.82176,9.396,3.784
2017-07-01 13:00:00+02:00,34.04,1009.89,0.0,3.432,0.216,64.956,583.0200000000001,15.99,192.74398000000002,9.156,4.686
2017-07-01 14:00:00+02:00,34.04,967.26,0.0,2.4,0.216,64.944,597.7800000000001,18.327,187.21066000000002,8.364,5.0489999999999995
2017-07-01 15:00:00+02:00,34.5,972.16,0.0,1.824,0.24,64.956,592.86,18.163,187.21066000000002,6.948,4.994
2017-07-01 16:00:00+02:00,31.740000000000002,1027.04,0.0,1.08,0.336,64.968,585.48,19.639,196.43286,4.644,5.202999999999999
2017-07-01 17:00:00+02:00,30.82,977.06,0.0,2.232,0.384,64.992,580.5600000000001,21.279,202.88840000000002,2.052,5.1259999999999994
2017-07-01 18:00:00+02:00,29.900000000000002,1035.86,0.0,2.568,0.40800000000000003,64.98,551.0400000000001,18.86,203.81062,0.912,4.114
2017-07-01 19:00:00+02:00,30.360000000000003,1129.94,0.0,0.888,0.456,65.004,508.40000000000003,12.341000000000001,203.81062,0.036000000000000004,3.113
2017-07-01 20:00:00+02:00,30.82,1142.19,0.0,5.448,0.456,65.04,402.62,6.437,213.95504,0.096,2.673
2017-07-01 21:00:00+02:00,29.67,1135.82,0.0,5.5440000000000005,0.456,65.07600000000001,410.82000000000005,1.189,213.03282000000002,0.012,2.101
2017-07-01 22:00:00+02:00,25.53,1230.3899999999999,0.0,15.696,0.384,65.124,417.38000000000005,0.0,213.03282000000002,0.636,2.068
2017-07-01 23:00:00+02:00,25.07,1223.04,0.0,14.376,0.36,65.172,423.94000000000005,0.0,213.03282000000002,1.872,2.211
2017-07-02 00:00:00+02:00,24.84,948.64,0.0,0.12,0.432,65.172,313.24,0.0,215.79948000000002,2.628,2.002
2017-07-02 01:00:00+02:00,25.07,832.51,0.0,0.0,0.40800000000000003,65.16,255.02,0.0,214.87726,2.568,2.178
2017-07-02 02:00:00+02:00,27.6,774.1999999999999,0.0,2.856,0.384,65.172,244.36,0.0,213.95504,3.624,2.6839999999999997
2017-07-02 03:00:00+02:00,26.450000000000003,683.06,0.0,3.672,0.384,65.196,241.9,0.0,213.95504,4.188,2.893
2017-07-02 04:00:00+02:00,27.14,722.26,0.0,12.84,0.336,65.184,237.8,0.0,217.64392,4.296,2.948
