,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2017-09-01 00:00:00+02:00,120.552,45.204,348.5,15.861999999999998
2017-09-01 01:00:00+02:00,114.48,45.216,348.5,16.357
2017-09-01 02:00:00+02:00,112.272,45.204,353.42,16.093
2017-09-01 03:00:00+02:00,111.24000000000001,45.204,352.6,16.06
2017-09-01 04:00:00+02:00,119.952,45.216,349.32000000000005,16.709
2017-09-01 05:00:00+02:00,143.28,45.216,347.68,16.522
2017-09-01 06:00:00+02:00,204.45600000000002,45.216,346.86,16.082
2017-09-01 07:00:00+02:00,242.184,45.216,342.76000000000005,15.047999999999998
2017-09-01 08:00:00+02:00,253.704,45.204,338.66,14.002999999999998
2017-09-01 09:00:00+02:00,253.24800000000002,45.204,342.76000000000005,12.562
2017-09-01 10:00:00+02:00,250.17600000000002,45.216,351.78000000000003,11.318999999999999
2017-09-01 11:00:00+02:00,249.072,45.216,348.5,10.78
2017-09-01 12:00:00+02:00,241.89600000000002,45.132,358.34000000000003,10.824
2017-09-01 13:00:00+02:00,240.744,45.132,359.98,10.427999999999999
2017-09-01 14:00:00+02:00,229.536,45.108000000000004,348.5,9.251
2017-09-01 15:00:00+02:00,233.4,45.072,347.68,8.899
2017-09-01 16:00:00+02:00,232.99200000000002,45.084,336.20000000000005,8.965
2017-09-01 17:00:00+02:00,235.32,45.036,332.1,8.767
2017-09-01 18:00:00+02:00,244.752,45.072,319.8,9.152
2017-09-01 19:00:00+02:00,244.22400000000002,45.072,314.06,9.075
2017-09-01 20:00:00+02:00,235.776,45.084,314.06,8.965
2017-09-01 21:00:00+02:00,218.592,45.084,311.6,8.854999999999999
2017-09-01 22:00:00+02:00,186.072,45.084,310.78000000000003,9.658
2017-09-01 23:00:00+02:00,153.504,45.084,309.96000000000004,10.615
2017-09-02 00:00:00+02:00,125.904,45.06,341.12,11.748
2017-09-02 01:00:00+02:00,116.08800000000001,45.084,336.20000000000005,11.187
2017-09-02 02:00:00+02:00,107.568,45.072,338.66,10.769
2017-09-02 03:00:00+02:00,107.136,45.084,328.0,10.186
2017-09-02 04:00:00+02:00,106.272,45.096000000000004,328.82000000000005,9.625
2017-09-02 05:00:00+02:00,109.104,45.108000000000004,334.56,8.756
2017-09-02 06:00:00+02:00,117.096,45.108000000000004,335.38000000000005,7.941999999999999
2017-09-02 07:00:00+02:00,151.272,45.12,338.66,6.787
2017-09-02 08:00:00+02:00,201.48000000000002,45.096000000000004,350.14000000000004,5.478
2017-09-02 09:00:00+02:00,225.38400000000001,45.108000000000004,367.36,4.697
2017-09-02 10:00:00+02:00,226.776,45.06,373.1,3.6519999999999997
2017-09-02 11:00:00+02:00,225.504,45.072,369.0,3.256
2017-09-02 12:00:00+02:00,215.904,45.036,370.64000000000004,3.179
2017-09-02 13:00:00+02:00,203.856,45.0,353.42,3.2009999999999996
2017-09-02 14:00:00+02:00,197.304,44.952,351.78000000000003,3.5749999999999997
2017-09-02 15:00:00+02:00,195.624,44.892,349.32000000000005,3.542
2017-09-02 16:00:00+02:00,192.648,44.544000000000004,346.86,3.7289999999999996
2017-09-02 17:00:00+02:00,205.656,44.364000000000004,346.86,4.015
2017-09-02 18:00:00+02:00,222.43200000000002,44.664,341.12,4.455
