,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore
2017-10-01 00:00:00+02:00,88.32000000000001,112.21,3121.2999999999997,3188.1600000000003,50.577,23.939999999999998,0.5760000000000001,47.76,5.448,4419.8,0.0,44.26656,1.474
2017-10-01 01:00:00+02:00,89.24000000000001,112.21,2653.35,3031.5400000000004,43.247,23.939999999999998,0.048,40.08,2.544,4310.740000000001,0.0,42.42212,1.276
2017-10-01 02:00:00+02:00,88.55,117.11,2295.16,2998.7400000000002,42.513999999999996,23.939999999999998,2.688,37.992,1.536,4151.660000000001,0.0,41.499900000000004,1.166
2017-10-01 03:00:00+02:00,89.01,115.64,2193.24,2986.44,43.247,23.939999999999998,0.552,36.336,1.368,4031.1200000000003,0.0,42.42212,1.452
2017-10-01 04:00:00+02:00,89.47,113.19,2161.39,2991.36,43.247,23.902,0.0,35.808,1.344,4067.2000000000003,0.0,43.34434,1.2979999999999998
2017-10-01 05:00:00+02:00,89.7,109.27,2250.57,2993.82,43.98,23.902,0.0,36.12,1.416,4246.780000000001,0.0,38.73324,1.067
2017-10-01 06:00:00+02:00,90.39,111.72,2310.84,3005.3,43.98,23.902,0.096,38.928,2.352,4391.92,0.0,43.34434,1.0999999999999999
2017-10-01 07:00:00+02:00,90.39,110.74,2414.72,3003.6600000000003,43.247,23.902,0.096,41.448,2.832,4400.12,11.111,43.34434,1.1219999999999999
2017-10-01 08:00:00+02:00,90.62,111.72,2601.9,3013.5000000000005,52.775999999999996,23.902,0.12,49.152,6.6000000000000005,4232.84,62.443000000000005,44.26656,0.946
2017-10-01 09:00:00+02:00,92.23,112.7,2957.64,3050.4,69.635,23.826,1.68,59.664,8.088000000000001,4655.96,122.385,42.42212,0.8029999999999999
2017-10-01 10:00:00+02:00,91.31,109.27,3169.32,3174.2200000000003,109.95,23.598,0.096,72.552,14.472,4781.42,142.18800000000002,42.42212,0.7919999999999999
2017-10-01 11:00:00+02:00,92.23,114.17,2993.9,3148.8,139.27,23.56,0.12,78.12,17.448,4600.200000000001,165.59900000000002,42.42212,0.968
2017-10-01 12:00:00+02:00,89.01,111.72,3052.7,3070.0800000000004,152.464,23.712,2.2800000000000002,66.0,12.48,4517.38,182.04000000000002,41.499900000000004,1.166
2017-10-01 13:00:00+02:00,89.7,110.74,2898.84,3034.82,142.935,23.636,0.0,50.4,5.232,4254.160000000001,178.76000000000002,43.34434,1.474
2017-10-01 14:00:00+02:00,86.94,110.25,2811.62,3037.28,142.935,23.674,0.0,45.648,4.728,4127.06,171.42100000000002,43.34434,2.5189999999999997
2017-10-01 15:00:00+02:00,85.33,115.14999999999999,2996.84,3061.0600000000004,142.202,23.674,0.0,46.2,5.16,4442.76,127.83800000000001,42.42212,3.0029999999999997
2017-10-01 16:00:00+02:00,81.19,120.53999999999999,3251.15,3042.2000000000003,142.935,23.674,3.3120000000000003,50.976,11.064,4890.4800000000005,76.424,41.499900000000004,5.279999999999999
2017-10-01 17:00:00+02:00,80.96000000000001,110.74,3181.08,3072.5400000000004,142.935,23.636,3.3120000000000003,60.6,10.056000000000001,5023.320000000001,33.661,42.42212,6.358
2017-10-01 18:00:00+02:00,83.03,109.27,3200.68,3164.38,142.202,23.636,8.76,78.12,15.912,5042.18,4.3870000000000005,43.34434,5.907
