,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2017-11-01 00:00:00+01:00,263.35,2514.1200000000003,345.8175,596.345,35.73375,0.2375,5.298,9.57,0.342,30.711000000000002,1039.145,,0.0,88.53312,9.21,34.32275
2017-11-01 00:15:00+01:00,263.005,2524.5750000000003,347.28749999999997,573.7950000000001,35.73375,0.2375,0.54,9.576,0.312,30.735,1049.6000000000001,,0.0,87.6109,9.042,34.061499999999995
2017-11-01 00:30:00+01:00,263.12,2529.2900000000004,348.2675,541.61,35.917,0.2375,5.586,9.582,0.306,30.717000000000002,968.6250000000001,,0.0,89.91645,8.709,34.185249999999996
2017-11-01 00:45:00+01:00,262.77500000000003,2525.8050000000003,347.655,510.65500000000003,35.73375,0.2375,3.09,9.594,0.39,30.687,989.945,,0.0,90.37756,8.883000000000001,34.240249999999996
2017-11-01 01:00:00+01:00,262.6025,2531.545,347.28749999999997,481.13500000000005,35.73375,0.22799999999999998,2.5500000000000003,9.6,0.378,30.717000000000002,953.6600000000001,,0.0,89.91645,8.544,34.47125
2017-11-01 01:15:00+01:00,262.315,2524.985,348.0225,486.87500000000006,35.917,0.22799999999999998,2.646,9.624,0.342,30.702,940.335,,0.0,89.91645,8.781,34.958
2017-11-01 01:30:00+01:00,262.2575,2491.1600000000003,348.5125,497.535,36.10025,0.22799999999999998,0.27,9.624,0.33,30.702,928.855,,0.0,89.91645,8.994,35.08725
2017-11-01 01:45:00+01:00,261.97,2490.75,344.96,506.35,35.73375,0.22799999999999998,0.264,9.6,0.294,30.681,910.61,,0.0,89.685895,8.727,35.01025
2017-11-01 02:00:00+01:00,261.855,2497.3100000000004,343.8575,489.13000000000005,35.73375,0.22799999999999998,0.258,9.606,0.294,30.693,856.2850000000001,,0.0,88.302565,9.102,35.71425
2017-11-01 02:15:00+01:00,261.625,2489.315,342.265,500.61,35.73375,0.22799999999999998,2.574,9.612,0.312,30.636,902.6150000000001,,0.0,91.069225,9.234,36.2945
2017-11-01 02:30:00+01:00,261.74,2490.9550000000004,344.22499999999997,498.97,35.73375,0.22799999999999998,2.586,9.594,0.324,30.693,897.4900000000001,,0.0,87.84145500000001,9.111,36.305499999999995
