,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2017-11-01 00:00:00+01:00,83.49000000000001,508.40000000000003,0.0,2698.43,4153.3,250.686,0.0,0.0,0.0,3.672,8.184000000000001,15.696,0.0,60.216,44.28,,3.0340000000000003,242.54386000000002,0.0,61.842
2017-11-01 01:00:00+01:00,84.64,494.46000000000004,0.0,2597.49,4109.02,241.15699999999998,0.0,0.0,0.0,6.456,8.016,13.368,0.0,60.204,45.1,,2.665,243.46608,0.0,65.22999999999999
2017-11-01 02:00:00+01:00,83.95,481.34000000000003,0.0,2162.86,3695.7400000000002,244.089,0.0,0.0,0.0,9.6,7.656000000000001,6.84,0.0,60.228,44.28,,2.46,247.15496000000002,0.0,67.826
2017-11-01 03:00:00+01:00,82.8,476.42,0.0,2082.5,3286.5600000000004,241.15699999999998,0.0,0.0,0.0,13.296000000000001,7.752,4.5600000000000005,0.0,60.216,45.1,,2.419,254.53272,0.0,67.22099999999999
2017-11-01 04:00:00+01:00,83.26,473.96000000000004,0.0,2003.12,3280.0000000000005,238.225,0.0,0.0,0.0,21.576,7.464,5.184,0.0,60.228,45.1,,1.435,260.98826,0.0,65.91199999999999
2017-11-01 05:00:00+01:00,83.72,477.24,0.0,2048.69,3224.2400000000002,235.293,0.0,0.0,0.0,24.36,7.32,7.104,0.0,60.24,45.1,,1.353,265.59936,0.0,64.46
2017-11-01 06:00:00+01:00,81.42,496.92,0.0,2155.02,3302.96,236.759,0.0,0.0,0.0,20.376,7.344,8.4,0.0,60.228,45.1,,1.3940000000000001,266.52158000000003,0.0,60.69799999999999
2017-11-01 07:00:00+01:00,77.97,478.06000000000006,0.0,2213.33,3258.6800000000003,238.958,0.0,0.0,0.0,10.992,7.68,8.832,0.0,60.216,45.1,,1.3940000000000001,267.4438,0.0,60.19199999999999
2017-11-01 08:00:00+01:00,82.34,478.06000000000006,0.0,2252.04,3373.4800000000005,241.15699999999998,0.0,0.0,0.0,9.552,7.848,9.216000000000001,0.0,60.216,45.1,,17.425,263.75492,0.0,60.104
2017-11-01 09:00:00+01:00,83.49000000000001,480.52000000000004,0.0,2220.19,3580.94,240.424,0.0,0.0,0.0,7.632000000000001,8.544,11.304,0.0,60.216,45.1,,59.204,260.98826,0.0,59.696999999999996
2017-11-01 10:00:00+01:00,84.64,471.50000000000006,0.0,2144.24,3436.6200000000003,240.424,0.0,0.0,0.0,7.6080000000000005,8.088000000000001,9.528,0.0,60.204,45.1,,115.497,265.59936,0.0,61.721
2017-11-01 11:00:00+01:00,83.26,459.20000000000005,0.0,2261.35,3241.46,239.691,0.0,0.0,0.0,10.104000000000001,7.872,9.72,0.0,60.204,45.1,,147.64100000000002,262.8327,0.0,63.117999999999995
2017-11-01 12:00:00+01:00,83.26,483.8,0.0,2285.36,3381.6800000000003,236.02599999999998,0.0,0.0,0.0,5.952,7.6080000000000005,9.96,0.0,60.192,44.28,,150.96200000000002,261.91048,0.0,61.291999999999994
2017-11-01 13:00:00+01:00,83.49000000000001,485.44000000000005,0.0,2205.49,3367.7400000000002,235.293,0.0,0.0,0.0,2.88,7.464,8.136000000000001,0.0,60.204,45.1,,145.673,261.91048,0.0,59.686
2017-11-01 14:00:00+01:00,82.34,482.16,0.0,2188.83,3281.6400000000003,236.02599999999998,0.0,0.0,0.0,12.048,7.344,6.5040000000000004,0.0,60.204,45.1,,135.874,260.98826,0.0,60.477999999999994
2017-11-01 15:00:00+01:00,83.26,474.78000000000003,0.0,2222.64,3245.5600000000004,234.56,0.0,0.0,0.0,27.552,7.776,6.696,0.0,60.204,44.28,,120.95,265.59936,0.0,59.785
2017-11-01 16:00:00+01:00,82.8,467.40000000000003,0.0,2224.6,3407.92,222.099,0.0,0.0,0.0,26.352,7.824,7.248,0.0,60.204,44.28,,89.134,271.13268,0.0,57.63999999999999
2017-11-01 17:00:00+01:00,81.65,510.04,0.0,2607.29,4076.2200000000003,226.49699999999999,0.0,0.0,0.0,9.528,8.28,14.184000000000001,0.0,60.192,45.1,,36.49,272.05490000000003,0.0,55.395999999999994
2017-11-01 18:00:00+01:00,79.81,487.08000000000004,0.0,2816.0299999999997,4343.54,230.162,0.0,0.0,0.0,2.112,8.4,28.224,0.0,60.192,45.1,,10.66,272.05490000000003,0.0,55.032999999999994
2017-11-01 19:00:00+01:00,82.11,470.68000000000006,0.0,2811.13,4379.62,234.56,0.0,0.0,0.0,0.0,8.928,40.464,0.0,60.204,44.28,,6.396,259.14382,0.0,59.147
2017-11-01 20:00:00+01:00,78.43,463.3,0.0,2769.97,4267.280000000001,230.89499999999998,0.0,0.0,0.0,0.0,9.648,43.872,0.0,60.216,44.28,,6.0680000000000005,249.92162000000002,0.0,64.152
2017-11-01 21:00:00+01:00,82.34,339.48,0.0,2902.27,4405.860000000001,227.963,0.0,0.0,0.0,0.0,9.504,46.344,0.0,60.216,43.46,,2.87,266.52158000000003,0.0,66.121
2017-11-01 22:00:00+01:00,83.72,321.44,0.0,2660.7,4313.200000000001,234.56,0.0,0.0,0.0,0.0,8.904,22.608,0.0,60.216,43.46,,3.157,275.74378,0.0,69.509
2017-11-01 23:00:00+01:00,84.41,310.78000000000003,0.0,2342.69,3969.6200000000003,233.827,0.0,0.0,0.0,5.5200000000000005,8.064,11.808,0.0,60.216,43.46,,3.567,267.4438,0.0,72.941
2017-11-02 00:00:00+01:00,82.8,314.06,0.0,2170.21,3516.9800000000005,238.225,0.0,0.0,0.0,10.632,7.5840000000000005,11.208,0.0,60.228,43.46,,3.116,257.29938,0.0,72.193
2017-11-02 01:00:00+01:00,82.34,324.72,0.0,2252.04,3436.6200000000003,238.958,0.0,0.0,0.0,28.008,7.32,9.216000000000001,0.0,60.228,44.28,,2.87,258.2216,0.0,66.792
2017-11-02 02:00:00+01:00,82.11,317.34000000000003,0.0,2300.06,3500.5800000000004,238.958,0.0,0.0,0.0,38.136,7.08,5.808,0.0,60.096000000000004,44.28,,2.829,256.37716,0.0,61.644
2017-11-02 03:00:00+01:00,82.34,328.82000000000005,0.0,2324.56,3526.0000000000005,238.958,0.0,0.0,0.0,36.984,7.032,5.976,0.0,60.06,44.28,,2.7470000000000003,257.29938,0.0,54.196999999999996
2017-11-02 04:00:00+01:00,82.11,332.92,0.0,2360.82,3545.6800000000003,233.827,0.0,0.0,0.0,34.92,7.128,6.384,0.0,60.06,44.28,,2.7470000000000003,263.75492,0.0,49.763999999999996
2017-11-02 05:00:00+01:00,84.64,334.56,0.0,2630.32,3884.34,240.424,0.0,0.0,0.0,20.52,7.152,7.368,0.0,60.048,43.46,,2.706,272.05490000000003,0.0,47.443
2017-11-02 06:00:00+01:00,84.18,328.82000000000005,0.0,3294.7599999999998,4361.58,239.691,0.0,0.0,0.0,0.384,7.176,29.04,0.0,60.012,43.46,,2.0500000000000003,272.05490000000003,0.0,45.715999999999994
2017-11-02 07:00:00+01:00,83.95,380.48,0.0,4558.47,4617.42,239.691,0.0,0.0,0.0,0.0,7.176,28.104,0.0,60.024,44.28,,1.435,270.21046,0.0,45.440999999999995
2017-11-02 08:00:00+01:00,84.64,382.12,0.0,5211.15,4696.96,245.555,0.0,0.0,0.0,0.0,8.064,30.288,0.0,60.036,45.1,,11.603,272.97712,0.0,45.352999999999994
2017-11-02 09:00:00+01:00,83.49000000000001,398.52000000000004,0.0,5538.47,4746.160000000001,243.356,0.0,0.0,0.0,0.0,8.016,39.336,0.0,60.048,45.1,,33.702,271.13268,0.0,41.678999999999995
2017-11-02 10:00:00+01:00,83.03,421.48,0.0,5535.53,4795.360000000001,246.28799999999998,0.0,0.0,0.0,0.12,7.824,26.976,0.0,60.048,46.74,,56.580000000000005,266.52158000000003,0.0,40.326
