,date,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,2017-12-01 00:00:00+01:00,4809.0,17907.0,4071.0,12138.0,198.0,27.0,3.0,1893.0,56.0,10263.0,5792.0,213.0,0.0,368.0,1706.0,1403.0
1,2017-12-01 00:15:00+01:00,4805.0,18039.0,3909.0,11912.0,197.0,27.0,3.0,1899.0,48.0,10259.0,5798.0,212.0,0.0,368.0,1808.0,1399.0
2,2017-12-01 00:30:00+01:00,4794.0,18051.0,3792.0,11877.0,198.0,27.0,3.0,1899.0,57.0,10273.0,5866.0,212.0,0.0,360.0,1856.0,1405.0
3,2017-12-01 00:45:00+01:00,4801.0,17995.0,3673.0,11772.0,198.0,27.0,3.0,1902.0,53.0,10265.0,6038.0,212.0,0.0,359.0,1871.0,1348.0
4,2017-12-01 01:00:00+01:00,4752.0,18033.0,3670.0,11750.0,198.0,27.0,3.0,1898.0,78.0,10274.0,6497.0,211.0,0.0,357.0,1896.0,1298.0
5,2017-12-01 01:15:00+01:00,4754.0,18003.0,3741.0,11688.0,198.0,27.0,3.0,1898.0,86.0,10268.0,6353.0,211.0,0.0,366.0,1931.0,1265.0
6,2017-12-01 01:30:00+01:00,4776.0,18017.0,3757.0,11673.0,198.0,27.0,3.0,1900.0,70.0,10274.0,6484.0,209.0,0.0,368.0,1953.0,1192.0
7,2017-12-01 01:45:00+01:00,4784.0,18029.0,3729.0,11503.0,198.0,27.0,3.0,1899.0,51.0,10264.0,6451.0,208.0,0.0,368.0,1985.0,1164.0
8,2017-12-01 02:00:00+01:00,4776.0,18080.0,3693.0,11483.0,198.0,27.0,3.0,1894.0,54.0,10283.0,5838.0,207.0,0.0,378.0,1970.0,1177.0
9,2017-12-01 02:15:00+01:00,4776.0,18067.0,3696.0,11458.0,198.0,27.0,3.0,1884.0,47.0,10268.0,5756.0,206.0,0.0,371.0,1871.0,1194.0
10,2017-12-01 02:30:00+01:00,4774.0,18066.0,3699.0,11446.0,198.0,27.0,3.0,1877.0,75.0,10261.0,5812.0,206.0,0.0,381.0,1753.0,1201.0
11,2017-12-01 02:45:00+01:00,4770.0,17946.0,3653.0,11517.0,198.0,27.0,3.0,1870.0,51.0,10265.0,5796.0,205.0,0.0,378.0,1686.0,1147.0
12,2017-12-01 03:00:00+01:00,4773.0,17921.0,3637.0,11742.0,198.0,27.0,3.0,1868.0,61.0,10273.0,5823.0,205.0,0.0,378.0,1698.0,1149.0
13,2017-12-01 03:15:00+01:00,4781.0,17883.0,3646.0,11803.0,198.0,27.0,3.0,1865.0,58.0,10270.0,5883.0,205.0,0.0,368.0,1766.0,1167.0
14,2017-12-01 03:30:00+01:00,4780.0,17635.0,3672.0,11800.0,198.0,27.0,3.0,1865.0,87.0,10268.0,5928.0,204.0,0.0,368.0,1738.0,1201.0
15,2017-12-01 03:45:00+01:00,4780.0,17311.0,3710.0,11851.0,198.0,27.0,3.0,1860.0,55.0,10265.0,6284.0,204.0,0.0,369.0,1715.0,1209.0
16,2017-12-01 04:00:00+01:00,4771.0,17078.0,3713.0,11886.0,198.0,27.0,3.0,1858.0,50.0,10268.0,6367.0,205.0,0.0,369.0,1707.0,1202.0
17,2017-12-01 04:15:00+01:00,4773.0,17055.0,3740.0,12079.0,198.0,27.0,3.0,1853.0,46.0,10259.0,6474.0,205.0,0.0,370.0,1684.0,1219.0
18,2017-12-01 04:30:00+01:00,4769.0,17047.0,3753.0,12393.0,198.0,27.0,3.0,1851.0,53.0,10272.0,6373.0,205.0,0.0,371.0,1676.0,1213.0
19,2017-12-01 04:45:00+01:00,4770.0,17014.0,3828.0,12703.0,198.0,27.0,3.0,1847.0,53.0,10271.0,6478.0,204.0,0.0,372.0,1544.0,1261.0
20,2017-12-01 05:00:00+01:00,4763.0,16977.0,4014.0,12930.0,198.0,26.0,3.0,1844.0,51.0,10269.0,6570.0,205.0,0.0,373.0,1470.0,1344.0
21,2017-12-01 05:15:00+01:00,4781.0,16962.0,4231.0,13280.0,198.0,26.0,3.0,1841.0,58.0,10281.0,6345.0,205.0,0.0,374.0,1529.0,1333.0
22,2017-12-01 05:30:00+01:00,4785.0,16914.0,4444.0,13720.0,198.0,26.0,12.0,1838.0,60.0,10280.0,6490.0,206.0,0.0,375.0,1585.0,1315.0
23,2017-12-01 05:45:00+01:00,4786.0,16884.0,4943.0,13934.0,198.0,26.0,17.0,1832.0,68.0,10282.0,6984.0,206.0,0.0,376.0,1362.0,1295.0
24,2017-12-01 06:00:00+01:00,4795.0,16893.0,5669.0,14231.0,198.0,25.0,336.0,1827.0,47.0,10250.0,7207.0,206.0,0.0,376.0,1276.0,1246.0
25,2017-12-01 06:15:00+01:00,4796.0,16944.0,5914.0,14580.0,198.0,25.0,504.0,1822.0,73.0,10279.0,6877.0,211.0,0.0,374.0,1271.0,1259.0
26,2017-12-01 06:30:00+01:00,4785.0,16955.0,6242.0,14686.0,198.0,25.0,1629.0,1800.0,93.0,10276.0,6829.0,213.0,0.0,374.0,1217.0,1292.0
27,2017-12-01 06:45:00+01:00,4787.0,17115.0,6870.0,14805.0,198.0,25.0,2849.0,1792.0,121.0,10270.0,7164.0,213.0,0.0,375.0,1169.0,1294.0
28,2017-12-01 07:00:00+01:00,4796.0,17329.0,7323.0,14804.0,196.0,25.0,1526.0,1784.0,121.0,10238.0,7043.0,213.0,0.0,374.0,1152.0,1259.0
29,2017-12-01 07:15:00+01:00,4803.0,17672.0,7465.0,14822.0,197.0,25.0,2123.0,1781.0,121.0,10274.0,7185.0,214.0,0.0,374.0,1187.0,1241.0
30,2017-12-01 07:30:00+01:00,4815.0,17762.0,7479.0,14897.0,196.0,26.0,2606.0,1781.0,121.0,10283.0,7256.0,215.0,0.0,374.0,1118.0,1272.0
31,2017-12-01 07:45:00+01:00,4808.0,17779.0,7401.0,14984.0,196.0,25.0,3218.0,1778.0,121.0,10285.0,7356.0,215.0,4.0,374.0,1155.0,1270.0
32,2017-12-01 08:00:00+01:00,4825.0,17786.0,7155.0,15023.0,196.0,26.0,4740.0,1774.0,118.0,10238.0,7238.0,215.0,79.0,375.0,1235.0,1276.0
33,2017-12-01 08:15:00+01:00,4809.0,17896.0,7347.0,15018.0,197.0,25.0,4967.0,1765.0,121.0,10283.0,7354.0,215.0,250.0,375.0,1070.0,1294.0
34,2017-12-01 08:30:00+01:00,4796.0,17811.0,7397.0,15048.0,196.0,25.0,4901.0,1763.0,121.0,10276.0,7385.0,215.0,495.0,375.0,1114.0,1333.0
35,2017-12-01 08:45:00+01:00,4789.0,17822.0,7403.0,15069.0,196.0,24.0,4711.0,1764.0,121.0,10274.0,7436.0,215.0,822.0,375.0,1250.0,1313.0
36,2017-12-01 09:00:00+01:00,4777.0,17875.0,7380.0,15097.0,197.0,24.0,4098.0,1751.0,121.0,10280.0,7505.0,215.0,1140.0,376.0,1327.0,1259.0
37,2017-12-01 09:15:00+01:00,4785.0,17807.0,7387.0,15101.0,197.0,24.0,4340.0,1745.0,121.0,10275.0,7401.0,215.0,1503.0,376.0,1186.0,1212.0
