,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2017-12-01 00:00:00+01:00,51.06,3486.84,1315.2800000000002,148.066,15.744,90.912,54.816,575.112,0.0,226.86612000000002,28.445999999999998
2017-12-01 01:00:00+01:00,51.06,3498.6,1311.18,131.207,34.392,80.928,30.192,573.408,0.0,221.33280000000002,26.939
2017-12-01 02:00:00+01:00,50.6,3381.98,1348.9,131.207,47.712,79.464,15.36,573.924,0.0,213.95504,27.235999999999997
2017-12-01 03:00:00+01:00,50.370000000000005,3331.02,1266.0800000000002,130.474,67.752,78.768,17.928,569.58,0.0,211.18838,28.665999999999997
2017-12-01 04:00:00+01:00,50.6,3328.57,1117.66,128.275,70.272,74.688,10.944,573.708,0.0,211.18838,29.721999999999998
2017-12-01 05:00:00+01:00,50.830000000000005,3421.67,1267.72,127.542,37.848,76.056,14.616,575.196,0.0,213.03282000000002,28.479
2017-12-01 06:00:00+01:00,51.06,3411.87,1266.0800000000002,126.809,13.200000000000001,83.83200000000001,39.024,579.72,0.0,208.42172000000002,27.907
2017-12-01 07:00:00+01:00,51.06,3725.47,1332.5,246.28799999999998,71.928,103.656,89.568,580.092,0.0,215.79948000000002,27.709
2017-12-01 08:00:00+01:00,50.370000000000005,3824.45,1333.3200000000002,476.45,66.84,116.928,98.44800000000001,579.84,4.5920000000000005,201.96618,26.455
2017-12-01 09:00:00+01:00,48.760000000000005,3836.7,1374.3200000000002,497.707,61.128,123.888,100.824,579.636,21.853,202.88840000000002,25.641
2017-12-01 10:00:00+01:00,50.14,3872.47,1388.2600000000002,499.906,53.856,123.21600000000001,93.264,579.756,53.587,203.81062,25.145999999999997
2017-12-01 11:00:00+01:00,50.14,3882.7599999999998,1409.5800000000002,702.2139999999999,44.616,115.416,94.72800000000001,579.408,77.285,202.88840000000002,25.971
2017-12-01 12:00:00+01:00,50.370000000000005,3861.69,1411.22,785.043,41.52,105.648,81.60000000000001,579.2520000000001,85.772,199.19952,27.983999999999998
2017-12-01 13:00:00+01:00,50.830000000000005,3854.83,1373.5,728.602,32.208,100.488,70.896,579.2280000000001,82.656,199.19952,30.459
2017-12-01 14:00:00+01:00,50.6,3837.19,1360.38,681.6899999999999,26.496000000000002,98.568,63.336,579.0600000000001,64.821,202.88840000000002,32.461
2017-12-01 15:00:00+01:00,50.830000000000005,3812.2,1449.7600000000002,367.233,33.456,102.0,59.664,578.904,39.114000000000004,203.81062,32.516
2017-12-01 16:00:00+01:00,51.29,3827.39,1544.88,343.044,27.528000000000002,104.784,68.08800000000001,578.208,13.366000000000001,203.81062,32.527
2017-12-01 17:00:00+01:00,51.980000000000004,3832.7799999999997,1671.98,358.437,47.424,121.968,103.104,578.136,0.0,214.87726,32.967
2017-12-01 18:00:00+01:00,51.980000000000004,3828.37,1606.38,371.631,60.528,130.536,115.992,578.172,0.0,223.17724,31.514999999999997
2017-12-01 19:00:00+01:00,51.980000000000004,3725.96,1651.48,371.631,52.128,124.44,92.952,579.612,0.0,224.09946000000002,30.744999999999997
2017-12-01 20:00:00+01:00,50.830000000000005,3686.7599999999998,1621.14,362.835,28.296,111.648,59.592,581.304,0.0,224.09946000000002,29.831999999999997
2017-12-01 21:00:00+01:00,49.22,3476.06,1614.5800000000002,341.578,1.08,105.96000000000001,41.064,581.712,0.0,224.09946000000002,28.743
2017-12-01 22:00:00+01:00,49.22,3449.6,1530.1200000000001,243.356,10.584,105.936,32.832,581.052,0.0,223.17724,28.599999999999998
2017-12-01 23:00:00+01:00,48.99,3493.7,1585.88,134.87199999999999,29.112000000000002,102.504,34.128,581.004,0.0,220.41058,27.676
2017-12-02 00:00:00+01:00,49.22,3622.08,1544.88,120.945,2.88,99.768,33.432,577.2,0.0,216.7217,27.576999999999998
