,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
2017-12-01 00:00:00+01:00,26.68,587.94,579.18,0.733,0.28800000000000003,0.24,20.04,63.96000000000001,,7.37776,0.572
2017-12-01 00:15:00+01:00,26.91,581.38,526.26,0.733,0.28800000000000003,0.24,19.992,63.96000000000001,,7.37776,0.6709999999999999
2017-12-01 00:30:00+01:00,26.91,546.12,526.26,0.733,0.28800000000000003,0.24,20.268,63.96000000000001,,8.29998,0.759
2017-12-01 00:45:00+01:00,26.91,528.08,491.46999999999997,0.733,0.28800000000000003,0.24,20.412,63.96000000000001,,8.29998,0.836
2017-12-01 01:00:00+01:00,26.91,559.24,533.61,0.733,0.28800000000000003,0.24,20.568,64.78,,6.45554,0.825
2017-12-01 01:15:00+01:00,26.91,580.5600000000001,535.08,0.733,0.28800000000000003,0.24,20.676000000000002,64.78,,8.29998,0.9239999999999999
2017-12-01 01:30:00+01:00,26.450000000000003,568.26,522.83,0.733,0.28800000000000003,0.24,20.82,64.78,,8.29998,1.023
2017-12-01 01:45:00+01:00,25.07,558.4200000000001,501.76,0.733,0.264,0.24,20.952,57.400000000000006,,9.2222,1.034
2017-12-01 02:00:00+01:00,22.540000000000003,578.1,479.21999999999997,0.733,0.264,0.24,21.108,55.760000000000005,,8.29998,0.9349999999999999
2017-12-01 02:15:00+01:00,19.78,578.9200000000001,477.26,0.0,0.264,0.24,21.204,55.760000000000005,,8.29998,0.869
2017-12-01 02:30:00+01:00,18.86,556.7800000000001,462.07,0.0,0.264,0.24,21.336000000000002,55.760000000000005,,7.37776,0.9239999999999999
2017-12-01 02:45:00+01:00,18.400000000000002,546.12,446.39,0.0,0.264,0.24,21.456,55.760000000000005,,7.37776,0.825
2017-12-01 03:00:00+01:00,17.94,567.44,508.62,0.0,0.264,0.24,20.208000000000002,59.040000000000006,,6.45554,0.7699999999999999
2017-12-01 03:15:00+01:00,17.48,586.3000000000001,510.09,0.0,0.264,0.24,20.34,59.040000000000006,,6.45554,0.7809999999999999
2017-12-01 03:30:00+01:00,17.48,588.76,504.21,0.0,0.264,0.24,20.556,59.040000000000006,,7.37776,0.836
2017-12-01 03:45:00+01:00,17.71,588.76,510.09,0.0,0.264,0.24,20.676000000000002,59.040000000000006,,7.37776,0.979
2017-12-01 04:00:00+01:00,17.71,579.74,493.92,0.0,0.264,0.24,20.82,59.040000000000006,,8.29998,1.045
2017-12-01 04:15:00+01:00,17.94,579.74,487.55,0.0,0.264,0.24,20.952,59.040000000000006,,8.29998,0.836
2017-12-01 04:30:00+01:00,17.25,584.6600000000001,514.99,0.0,0.264,0.24,21.084,59.040000000000006,,9.2222,0.6599999999999999
2017-12-01 04:45:00+01:00,19.09,596.96,543.9,0.0,0.264,0.24,21.216,59.040000000000006,,9.2222,0.594
2017-12-01 05:00:00+01:00,20.240000000000002,545.3000000000001,502.25,0.0,0.264,0.24,21.36,68.88000000000001,,9.2222,0.572
2017-12-01 05:15:00+01:00,22.080000000000002,522.34,521.85,0.0,0.264,0.24,21.492,68.88000000000001,,9.2222,0.528
2017-12-01 05:30:00+01:00,24.380000000000003,555.96,561.54,0.0,0.264,0.24,21.624,69.7,,10.14442,0.517
2017-12-01 05:45:00+01:00,25.53,594.5,601.72,0.0,0.264,0.24,21.768,69.7,,9.2222,0.45099999999999996
2017-12-01 06:00:00+01:00,25.990000000000002,549.4000000000001,526.75,0.0,0.312,0.24,21.888,70.52000000000001,,8.29998,0.38499999999999995
2017-12-01 06:15:00+01:00,26.450000000000003,549.4000000000001,608.58,0.0,0.336,0.24,22.032,70.52000000000001,,8.29998,0.27499999999999997
2017-12-01 06:30:00+01:00,26.68,595.32,634.55,0.0,0.336,0.24,22.164,70.52000000000001,,8.29998,0.23099999999999998
2017-12-01 06:45:00+01:00,26.91,603.5200000000001,682.08,0.0,0.312,0.24,22.32,70.52000000000001,,8.29998,0.176
2017-12-01 07:00:00+01:00,26.450000000000003,587.12,651.6999999999999,0.733,0.312,0.24,22.368000000000002,69.7,,9.2222,0.121
2017-12-01 07:15:00+01:00,25.53,582.2,670.81,0.733,0.312,0.24,22.44,69.7,,9.2222,0.132
2017-12-01 07:30:00+01:00,26.450000000000003,587.94,666.4,0.733,0.312,0.24,22.368000000000002,69.7,,9.2222,0.10999999999999999
2017-12-01 07:45:00+01:00,26.220000000000002,588.76,650.72,0.733,0.312,0.24,22.272000000000002,69.7,,8.29998,0.09899999999999999
2017-12-01 08:00:00+01:00,26.220000000000002,588.76,669.34,0.733,0.312,0.216,22.188,63.14000000000001,,7.37776,0.033
2017-12-01 08:15:00+01:00,25.76,598.6,679.63,0.733,0.312,0.216,22.116,63.14000000000001,,6.45554,0.011
2017-12-01 08:30:00+01:00,25.53,599.4200000000001,697.76,0.733,0.312,0.216,22.080000000000002,63.14000000000001,,6.45554,0.0
2017-12-01 08:45:00+01:00,25.53,597.7800000000001,686.98,0.733,0.312,0.216,22.248,63.14000000000001,,6.45554,0.0
2017-12-01 09:00:00+01:00,25.990000000000002,598.6,671.3,0.733,0.312,0.192,22.38,63.14000000000001,,8.29998,0.011
2017-12-01 09:15:00+01:00,25.76,597.7800000000001,672.28,0.733,0.312,0.192,22.476,63.14000000000001,,8.29998,0.022
2017-12-01 09:30:00+01:00,26.220000000000002,599.4200000000001,664.93,0.0,0.312,0.192,22.596,63.14000000000001,,8.29998,0.033
2017-12-01 09:45:00+01:00,26.450000000000003,598.6,660.03,0.0,0.312,0.192,22.656,63.14000000000001,,8.29998,0.033
2017-12-01 10:00:00+01:00,26.68,599.4200000000001,651.21,0.0,0.312,0.192,22.716,62.32000000000001,,8.29998,0.022
2017-12-01 10:15:00+01:00,26.450000000000003,596.1400000000001,655.13,0.0,0.312,0.192,22.788,62.32000000000001,,8.29998,0.033
2017-12-01 10:30:00+01:00,26.68,592.0400000000001,637.49,0.0,0.312,0.192,22.884,62.32000000000001,,8.29998,0.033
2017-12-01 10:45:00+01:00,26.68,592.0400000000001,649.25,0.0,0.312,0.192,22.956,62.32000000000001,,8.29998,0.033
2017-12-01 11:00:00+01:00,26.220000000000002,589.58,651.6999999999999,0.0,0.312,0.192,22.788,61.50000000000001,,8.29998,0.011
2017-12-01 11:15:00+01:00,25.3,585.48,647.78,0.0,0.312,0.192,22.668,61.50000000000001,,7.37776,0.011
2017-12-01 11:30:00+01:00,26.450000000000003,582.2,648.27,0.0,0.312,0.216,22.728,61.50000000000001,,8.29998,0.011
2017-12-01 11:45:00+01:00,26.450000000000003,581.38,647.78,0.0,0.312,0.24,22.788,61.50000000000001,,7.37776,0.011
2017-12-01 12:00:00+01:00,26.220000000000002,581.38,656.6,0.0,0.312,0.24,22.812,68.88000000000001,,8.29998,0.011
2017-12-01 12:15:00+01:00,26.68,582.2,668.36,0.0,0.312,0.24,22.752,68.88000000000001,,7.37776,0.011
2017-12-01 12:30:00+01:00,26.450000000000003,582.2,659.05,0.0,0.312,0.216,22.776,68.88000000000001,,6.45554,0.011
2017-12-01 12:45:00+01:00,26.450000000000003,589.58,677.67,0.0,0.312,0.216,22.632,68.88000000000001,,7.37776,0.011
2017-12-01 13:00:00+01:00,26.68,589.58,688.9399999999999,0.0,0.312,0.216,22.752,65.60000000000001,,7.37776,0.022
2017-12-01 13:15:00+01:00,26.68,586.3000000000001,692.86,0.0,0.312,0.216,22.704,65.60000000000001,,7.37776,0.033
2017-12-01 13:30:00+01:00,26.68,589.58,663.46,0.0,0.312,0.216,22.668,65.60000000000001,,7.37776,0.033
2017-12-01 13:45:00+01:00,26.68,581.38,634.55,0.0,0.312,0.24,22.68,65.60000000000001,,8.29998,0.011
2017-12-01 14:00:00+01:00,26.68,584.6600000000001,642.39,0.0,0.312,0.24,22.632,65.60000000000001,,8.29998,0.011
2017-12-01 14:15:00+01:00,26.68,584.6600000000001,676.1999999999999,0.0,0.312,0.216,22.512,65.60000000000001,,8.29998,0.011
2017-12-01 14:30:00+01:00,26.68,594.5,699.72,0.0,0.312,0.216,22.344,65.60000000000001,,8.29998,0.011
2017-12-01 14:45:00+01:00,25.990000000000002,597.7800000000001,708.05,0.0,0.312,0.216,22.32,65.60000000000001,,7.37776,0.011
2017-12-01 15:00:00+01:00,26.68,586.3000000000001,677.67,0.0,0.312,0.216,22.716,68.88000000000001,,8.29998,0.011
2017-12-01 15:15:00+01:00,26.68,578.1,657.09,0.0,0.312,0.216,23.052,68.88000000000001,,7.37776,0.022
2017-12-01 15:30:00+01:00,26.220000000000002,576.46,674.24,0.733,0.312,0.216,23.04,68.88000000000001,,7.37776,0.011
2017-12-01 15:45:00+01:00,26.220000000000002,584.6600000000001,713.93,0.733,0.312,0.216,23.016000000000002,68.88000000000001,,8.29998,0.011
2017-12-01 16:00:00+01:00,26.220000000000002,563.34,689.43,0.733,0.312,0.216,23.016000000000002,68.88000000000001,,7.37776,0.011
2017-12-01 16:15:00+01:00,25.76,585.48,731.08,0.0,0.312,0.24,22.884,68.88000000000001,,8.29998,0.011
2017-12-01 16:30:00+01:00,25.76,601.88,766.85,0.733,0.312,0.24,23.004,68.88000000000001,,7.37776,0.011
2017-12-01 16:45:00+01:00,25.3,593.6800000000001,783.02,0.733,0.28800000000000003,0.24,22.896,68.88000000000001,,8.29998,0.011
2017-12-01 17:00:00+01:00,25.53,596.96,805.56,50.577,0.28800000000000003,0.24,22.992,66.42,,8.29998,0.011
2017-12-01 17:15:00+01:00,24.61,594.5,794.78,66.703,0.28800000000000003,0.24,23.028000000000002,67.24000000000001,,7.37776,0.011
2017-12-01 17:30:00+01:00,24.84,591.22,772.24,66.703,0.28800000000000003,0.24,22.944,67.24000000000001,,8.29998,0.011
2017-12-01 17:45:00+01:00,25.53,587.94,774.6899999999999,48.378,0.28800000000000003,0.24,22.884,67.24000000000001,,8.29998,0.011
2017-12-01 18:00:00+01:00,25.53,593.6800000000001,784.98,0.733,0.312,0.24,22.92,66.42,,7.37776,0.011
2017-12-01 18:15:00+01:00,25.3,596.96,801.64,0.733,0.312,0.24,23.016000000000002,66.42,,7.37776,0.011
2017-12-01 18:30:00+01:00,25.76,587.94,801.15,0.0,0.312,0.24,22.992,66.42,,8.29998,0.011
2017-12-01 18:45:00+01:00,25.76,586.3000000000001,792.33,0.0,0.312,0.24,23.004,66.42,,7.37776,0.011
2017-12-01 19:00:00+01:00,25.53,600.24,812.91,0.733,0.312,0.24,23.04,66.42,,7.37776,0.011
2017-12-01 19:15:00+01:00,26.450000000000003,600.24,799.68,0.733,0.312,0.24,23.052,66.42,,7.37776,0.011
2017-12-01 19:30:00+01:00,26.220000000000002,591.22,798.21,0.733,0.312,0.24,23.016000000000002,66.42,,7.37776,0.011
2017-12-01 19:45:00+01:00,25.53,575.6400000000001,780.5699999999999,0.733,0.312,0.24,23.004,66.42,,7.37776,0.011
2017-12-01 20:00:00+01:00,25.76,589.58,804.09,0.733,0.312,0.24,23.04,63.96000000000001,,7.37776,0.011
2017-12-01 20:15:00+01:00,25.990000000000002,587.94,805.56,0.733,0.312,0.24,23.028000000000002,63.96000000000001,,8.29998,0.011
2017-12-01 20:30:00+01:00,25.990000000000002,579.74,800.17,0.733,0.312,0.24,22.992,63.96000000000001,,8.29998,0.022
2017-12-01 20:45:00+01:00,25.990000000000002,570.72,792.33,0.733,0.312,0.24,23.016000000000002,63.96000000000001,,6.45554,0.011
2017-12-01 21:00:00+01:00,25.76,599.4200000000001,849.17,0.733,0.312,0.24,23.04,64.78,,7.37776,0.011
2017-12-01 21:15:00+01:00,25.76,602.7,842.31,0.733,0.312,0.24,23.016000000000002,64.78,,7.37776,0.011
2017-12-01 21:30:00+01:00,25.76,584.6600000000001,804.58,0.733,0.312,0.24,23.028000000000002,64.78,,6.45554,0.011
2017-12-01 21:45:00+01:00,26.220000000000002,572.36,789.88,0.733,0.312,0.24,23.04,64.78,,6.45554,0.011
