date,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2018-01-01 00:00:00+01:00,295,2305,11,209,,5832,2244,37183,0,259,9808
2018-01-01 01:00:00+01:00,293,2316,11,214,,5786,2160,34793,0,257,9707
2018-01-01 02:00:00+01:00,293,2286,11,215,,5593,1571,34263,0,256,9502
2018-01-01 03:00:00+01:00,294,2290,11,214,,5507,1319,34081,0,252,9288
2018-01-01 04:00:00+01:00,294,2291,10,215,,5261,705,34103,0,252,9005
2018-01-01 05:00:00+01:00,294,2271,10,217,,5233,482,34032,0,249,9050
2018-01-01 06:00:00+01:00,294,2275,11,217,,5345,750,34437,0,247,8925
2018-01-01 07:00:00+01:00,294,2393,11,216,,5462,918,34376,0,250,9021
2018-01-01 08:00:00+01:00,294,2414,10,215,,5504,1372,34973,99,251,8820
2018-01-01 09:00:00+01:00,294,2412,11,214,,5764,1253,35491,490,251,8590
2018-01-01 10:00:00+01:00,293,2408,11,214,,5718,756,35900,1125,250,8453
2018-01-01 11:00:00+01:00,290,2404,11,213,,5781,880,36061,1550,252,8557
2018-01-01 12:00:00+01:00,291,2400,11,213,,5870,1479,35920,1534,252,8710
2018-01-01 13:00:00+01:00,293,2399,11,215,,5741,1798,36108,1363,250,8286
2018-01-01 14:00:00+01:00,294,2394,11,215,,5775,2485,36620,1095,249,7839
2018-01-01 15:00:00+01:00,294,2398,12,216,,5780,2240,38278,642,250,7730
2018-01-01 16:00:00+01:00,294,2399,9,216,,5750,2030,39870,222,251,8633
2018-01-01 17:00:00+01:00,294,2401,8,216,,5848,1803,43150,48,247,9373
2018-01-01 18:00:00+01:00,294,2405,7,215,511,6065,1998,45302,0,248,9495
2018-01-01 19:00:00+01:00,294,2409,3,214,1629,6258,2846,46415,0,247,9513
2018-01-01 20:00:00+01:00,294,2408,3,214,564,6099,2336,47170,0,244,9409
2018-01-01 21:00:00+01:00,296,2413,3,214,,5815,1363,47486,0,245,9315
2018-01-01 22:00:00+01:00,295,2414,5,215,,5991,1497,47449,0,245,8874
2018-01-01 23:00:00+01:00,294,2421,8,215,340,6019,1511,47729,0,248,8622
2018-01-02 00:00:00+01:00,297,2563,11,216,,5894,1119,46834,0,251,8479
2018-01-02 01:00:00+01:00,297,2569,11,216,,5756,920,45266,0,251,8214
2018-01-02 02:00:00+01:00,297,2570,11,214,,5871,936,43646,0,254,7897
2018-01-02 03:00:00+01:00,297,2576,11,214,,5709,1009,43034,0,256,7318
2018-01-02 04:00:00+01:00,297,2580,11,214,,5561,1069,43426,0,243,6788
2018-01-02 05:00:00+01:00,296,2580,11,215,,5507,1289,45438,0,237,6330
2018-01-02 06:00:00+01:00,297,2585,11,215,186,5601,2007,48067,0,234,5560
2018-01-02 07:00:00+01:00,297,2737,11,216,1032,5955,1938,50833,0,233,4786
2018-01-02 08:00:00+01:00,297,3074,10,216,779,6147,1569,53545,84,237,4305
2018-01-02 09:00:00+01:00,297,3328,9,215,750,6279,1510,54828,392,237,4094
2018-01-02 10:00:00+01:00,297,3392,9,215,1209,6471,1639,55085,881,243,4014
2018-01-02 11:00:00+01:00,296,3431,10,215,1611,6381,2415,55319,1199,237,3815
2018-01-02 12:00:00+01:00,297,3463,11,215,2158,6353,2895,55246,1196,254,3826
2018-01-02 13:00:00+01:00,297,3328,11,214,1908,6475,2572,55198,1183,253,4223
2018-01-02 14:00:00+01:00,295,3109,11,214,1515,6390,2261,55113,953,251,4719
2018-01-02 15:00:00+01:00,296,3032,11,214,1440,6263,2138,55331,566,252,5587
2018-01-02 16:00:00+01:00,297,3131,9,215,1291,6193,1810,55619,201,255,6749
2018-01-02 17:00:00+01:00,295,3445,8,214,1427,6450,1971,55658,63,260,7387
2018-01-02 18:00:00+01:00,294,3660,8,214,1211,6461,1912,55512,0,259,7879
2018-01-02 19:00:00+01:00,290,3570,10,214,1957,6461,2105,55649,0,252,8087
2018-01-02 20:00:00+01:00,295,2855,11,214,667,6258,1474,54934,0,254,8584
2018-01-02 21:00:00+01:00,294,2776,11,214,,6096,1195,53865,0,253,8997
2018-01-02 22:00:00+01:00,298,2771,11,213,,6158,1529,53281,0,255,9259
2018-01-02 23:00:00+01:00,296,2747,11,213,,6303,1565,52764,0,257,9695
