,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2018-02-01 00:00:00+01:00,78.43,891.8,0.0,0.0,0.14400000000000002,0.72,59.568,551.86,0.0,224.09946000000002,9.744,5.346
2018-02-01 01:00:00+01:00,79.35000000000001,894.74,0.0,0.0,20.352,0.72,59.58,534.64,0.0,224.09946000000002,9.228,5.7749999999999995
2018-02-01 02:00:00+01:00,79.12,877.59,0.0,0.0,25.056,0.744,59.58,510.86,0.0,225.02168,9.516,5.598999999999999
2018-02-01 03:00:00+01:00,79.12,837.9,0.0,0.0,25.752,0.744,59.58,509.22,0.0,225.02168,9.756,5.39
2018-02-01 04:00:00+01:00,78.89,860.93,0.0,0.0,25.392,0.744,59.556000000000004,481.34000000000003,0.0,223.17724,9.252,6.061
2018-02-01 05:00:00+01:00,78.43,859.46,0.0,0.0,24.048000000000002,0.744,59.58,492.00000000000006,0.0,223.17724,8.82,6.489999999999999
2018-02-01 06:00:00+01:00,77.97,1068.2,0.0,0.0,9.96,0.744,59.58,514.96,0.0,222.25502,8.184000000000001,7.2379999999999995
2018-02-01 07:00:00+01:00,77.74000000000001,1279.8799999999999,0.0,0.0,3.24,0.6960000000000001,59.58,572.36,0.0,222.25502,7.428,7.5569999999999995
2018-02-01 08:00:00+01:00,78.2,1400.42,0.0,0.0,10.68,0.6960000000000001,59.604,578.1,0.861,229.63278,8.028,6.401999999999999
2018-02-01 09:00:00+01:00,76.82000000000001,1470.98,0.0,0.0,10.392,0.72,59.544000000000004,572.36,4.715,229.63278,7.0200000000000005,6.523
2018-02-01 10:00:00+01:00,72.45,1492.54,0.0,0.0,9.528,0.72,59.484,569.9000000000001,7.7490000000000006,228.71056000000002,6.024,5.643
2018-02-01 11:00:00+01:00,74.06,1507.24,0.0,9.529,6.264,0.72,59.508,569.08,14.76,228.71056000000002,6.612,4.872999999999999
2018-02-01 12:00:00+01:00,75.9,1493.52,0.0,0.0,1.104,0.72,59.484,570.72,21.279,230.555,6.18,4.598
2018-02-01 13:00:00+01:00,77.05,1313.69,0.0,0.0,0.912,0.6960000000000001,59.508,560.0600000000001,28.003,228.71056000000002,6.216,4.103
2018-02-01 14:00:00+01:00,75.67,1090.74,0.0,0.0,8.64,0.672,59.544000000000004,546.94,28.249000000000002,227.78834,6.312,4.664
2018-02-01 15:00:00+01:00,74.75,1150.03,0.0,0.0,6.912,0.648,59.52,537.9200000000001,18.122,225.9439,7.224,4.455
