,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2018-02-01 01:00:00+02:00,8.280000000000001,1606.38,136.22,47.56,0.0,2.184,0.216,25.26,0.0,3.68888,2.2439999999999998
2018-02-01 02:00:00+02:00,8.51,1547.3400000000001,137.2,48.38,0.0,2.136,0.216,25.296,0.0,4.6111,2.5189999999999997
2018-02-01 03:00:00+02:00,8.51,1506.3400000000001,137.69,48.38,0.0,2.208,0.216,25.26,0.0,4.6111,2.4859999999999998
2018-02-01 04:00:00+02:00,8.51,1499.7800000000002,137.2,48.38,0.0,2.232,0.216,25.26,0.0,4.6111,2.948
2018-02-01 05:00:00+02:00,8.51,1494.8600000000001,138.18,48.38,0.0,2.3040000000000003,0.216,25.284,0.0,4.6111,3.311
2018-02-01 06:00:00+02:00,8.51,1660.5000000000002,139.16,45.1,0.0,2.4,2.52,25.272000000000002,0.0,4.6111,3.9709999999999996
2018-02-01 07:00:00+02:00,8.51,1988.5000000000002,139.65,49.2,0.648,2.904,5.856,25.26,0.20500000000000002,4.6111,3.718
2018-02-01 08:00:00+02:00,8.05,2047.5400000000002,137.2,49.2,3.2640000000000002,3.72,3.12,25.284,5.699,3.68888,3.179
2018-02-01 09:00:00+02:00,8.05,2112.32,136.71,47.56,0.0,4.176,0.216,25.344,16.072,3.68888,2.222
2018-02-01 10:00:00+02:00,7.82,2007.3600000000001,136.71,50.02,0.0,4.128,0.216,25.308,23.165000000000003,3.68888,1.9909999999999999
2018-02-01 11:00:00+02:00,7.82,1804.8200000000002,135.73,52.480000000000004,0.0,4.152,0.192,25.296,27.101000000000003,3.68888,1.914
2018-02-01 12:00:00+02:00,8.05,1790.88,136.22,51.660000000000004,0.0,3.72,0.216,25.296,27.839000000000002,3.68888,1.8699999999999999
2018-02-01 13:00:00+02:00,8.280000000000001,1834.3400000000001,135.24,50.84,0.0,3.72,0.216,25.308,25.912000000000003,4.6111,1.111
2018-02-01 14:00:00+02:00,8.05,1818.7600000000002,135.24,50.84,0.0,3.672,0.216,25.308,21.443,3.68888,0.946
2018-02-01 15:00:00+02:00,7.590000000000001,1834.3400000000001,136.71,50.02,0.0,3.36,0.216,25.284,14.063,3.68888,0.99
2018-02-01 16:00:00+02:00,8.05,1913.0600000000002,141.60999999999999,50.02,0.0,3.36,0.28800000000000003,25.284,4.797000000000001,3.68888,1.573
2018-02-01 17:00:00+02:00,8.280000000000001,2014.7400000000002,142.1,50.02,0.0,3.528,7.92,25.284,0.246,4.6111,2.343
2018-02-01 18:00:00+02:00,8.280000000000001,2129.54,144.55,50.02,5.832,3.504,14.664,25.272000000000002,0.0,4.6111,2.222
2018-02-01 19:00:00+02:00,8.280000000000001,2140.2000000000003,130.82999999999998,49.2,9.120000000000001,3.3120000000000003,15.504,25.296,0.0,4.6111,1.815
2018-02-01 20:00:00+02:00,8.51,2170.54,125.44,48.38,7.08,3.696,11.928,25.308,0.0,4.6111,1.5839999999999999
2018-02-01 21:00:00+02:00,8.280000000000001,2150.86,125.92999999999999,51.660000000000004,5.736,3.504,6.12,25.332,0.0,4.6111,2.189
2018-02-01 22:00:00+02:00,8.280000000000001,2112.32,124.95,51.660000000000004,4.896,2.688,4.008,25.308,0.0,3.68888,2.376
2018-02-01 23:00:00+02:00,8.280000000000001,2047.5400000000002,126.91,51.660000000000004,1.8,2.64,1.272,25.284,0.0,3.68888,2.178
2018-02-02 00:00:00+02:00,8.51,1837.6200000000001,136.22,49.2,0.0,2.2800000000000002,0.216,25.296,0.0,3.68888,2.7609999999999997
2018-02-02 01:00:00+02:00,8.51,1791.7,136.22,49.2,0.0,2.2560000000000002,0.216,25.308,0.0,4.6111,3.2449999999999997
2018-02-02 02:00:00+02:00,8.51,1740.8600000000001,138.67,49.2,0.0,2.232,0.216,25.284,0.0,4.6111,3.4979999999999998
2018-02-02 03:00:00+02:00,8.280000000000001,1750.7,139.16,49.2,0.0,2.2560000000000002,0.216,25.32,0.0,4.6111,2.8379999999999996
2018-02-02 04:00:00+02:00,8.280000000000001,1759.72,138.18,49.2,0.0,2.2560000000000002,0.216,25.296,0.0,3.68888,2.915
2018-02-02 05:00:00+02:00,8.280000000000001,1761.3600000000001,136.71,46.74,0.0,2.7600000000000002,0.216,25.284,0.0,3.68888,2.871
2018-02-02 06:00:00+02:00,8.51,1876.9800000000002,137.2,47.56,0.0,3.12,0.6,25.272000000000002,0.0,3.68888,2.9259999999999997
2018-02-02 07:00:00+02:00,8.51,1979.4800000000002,136.71,47.56,0.0,3.8160000000000003,3.504,25.296,0.0,3.68888,3.4429999999999996
2018-02-02 08:00:00+02:00,8.51,2040.9800000000002,134.75,47.56,0.0,3.6,8.184000000000001,25.308,1.066,3.68888,3.388
2018-02-02 09:00:00+02:00,8.51,2060.6600000000003,136.22,49.2,0.0,3.744,7.5600000000000005,25.32,5.0840000000000005,2.76666,2.8819999999999997
2018-02-02 10:00:00+02:00,8.51,2178.7400000000002,136.71,49.2,0.0,3.744,0.216,25.284,9.84,3.68888,2.101
2018-02-02 11:00:00+02:00,8.51,2014.7400000000002,132.3,46.74,0.0,4.296,0.192,25.284,12.956000000000001,3.68888,2.068
2018-02-02 12:00:00+02:00,7.82,1961.44,134.26,45.1,0.0,3.984,0.216,25.284,13.079,3.68888,2.0789999999999997
2018-02-02 13:00:00+02:00,6.21,1961.44,134.26,45.92,0.0,3.936,0.216,25.296,11.685,3.68888,1.9249999999999998
2018-02-02 14:00:00+02:00,6.44,1922.9,134.75,48.38,0.0,3.888,0.216,25.296,8.938,3.68888,1.7269999999999999
2018-02-02 15:00:00+02:00,6.21,1889.2800000000002,133.77,48.38,0.0,3.7920000000000003,0.216,25.26,5.658,3.68888,2.068
2018-02-02 16:00:00+02:00,6.9,1985.2200000000003,133.28,49.2,0.0,3.528,1.8960000000000001,25.26,2.2960000000000003,3.68888,2.5959999999999996
2018-02-02 17:00:00+02:00,8.51,2010.64,133.28,47.56,0.0,3.672,9.888,25.272000000000002,0.082,3.68888,2.948
2018-02-02 18:00:00+02:00,8.280000000000001,2118.88,133.77,48.38,8.568,3.744,10.872,25.296,0.0,3.68888,3.4099999999999997
2018-02-02 19:00:00+02:00,8.51,2050.0,131.81,48.38,7.296,3.984,11.352,25.296,0.0,3.68888,4.630999999999999
2018-02-02 20:00:00+02:00,8.51,1994.2400000000002,131.81,47.56,8.184000000000001,3.72,5.64,25.272000000000002,0.0,3.68888,4.763
2018-02-02 21:00:00+02:00,8.51,1944.2200000000003,131.81,47.56,4.392,3.2880000000000003,0.96,25.284,0.0,4.6111,5.258
2018-02-02 22:00:00+02:00,8.51,1885.18,132.3,46.74,4.32,2.616,0.216,25.272000000000002,0.0,4.6111,5.444999999999999
2018-02-02 23:00:00+02:00,8.97,1831.0600000000002,131.32,46.74,0.0,2.448,0.216,25.26,0.0,3.68888,5.1259999999999994
2018-02-03 00:00:00+02:00,8.74,1615.4,132.3,50.02,0.0,2.328,0.216,25.272000000000002,0.0,3.68888,5.114999999999999
2018-02-03 01:00:00+02:00,8.280000000000001,1510.44,140.63,49.2,0.0,2.328,0.216,25.296,0.0,3.68888,5.2139999999999995
2018-02-03 02:00:00+02:00,8.51,1460.42,145.53,48.38,0.0,2.2800000000000002,0.216,25.272000000000002,0.0,4.6111,5.104
2018-02-03 03:00:00+02:00,8.74,1429.2600000000002,145.04,48.38,0.0,2.2560000000000002,0.216,25.272000000000002,0.0,4.6111,5.632
2018-02-03 04:00:00+02:00,8.51,1428.44,145.04,50.84,0.0,2.232,0.216,25.272000000000002,0.0,3.68888,5.521999999999999
2018-02-03 05:00:00+02:00,8.74,1396.46,145.53,47.56,0.0,2.448,0.216,25.272000000000002,0.0,3.68888,5.191999999999999
2018-02-03 06:00:00+02:00,8.74,1427.6200000000001,147.49,49.2,0.0,2.472,0.216,25.236,0.0,4.6111,5.808
2018-02-03 07:00:00+02:00,8.97,1480.1000000000001,144.55,51.660000000000004,0.0,3.12,0.216,25.272000000000002,0.0,4.6111,5.5329999999999995
2018-02-03 08:00:00+02:00,8.51,1466.16,146.51,52.480000000000004,0.0,3.648,6.168,25.284,1.312,4.6111,5.4559999999999995
2018-02-03 09:00:00+02:00,8.51,1425.16,144.06,52.480000000000004,0.0,4.296,7.368,25.248,5.863,4.6111,5.962
2018-02-03 10:00:00+02:00,8.74,1497.3200000000002,143.57,52.480000000000004,0.0,4.368,3.48,25.284,8.446,3.68888,6.27
2018-02-03 11:00:00+02:00,8.74,1561.2800000000002,140.14,51.660000000000004,0.0,4.6080000000000005,1.344,25.284,7.872,3.68888,6.314
2018-02-03 12:00:00+02:00,8.74,1485.0200000000002,139.16,51.660000000000004,0.0,4.392,0.672,25.284,9.102,3.68888,6.369
2018-02-03 13:00:00+02:00,8.74,1476.0,141.12,53.300000000000004,0.0,3.96,0.216,25.272000000000002,8.733,3.68888,6.391
2018-02-03 14:00:00+02:00,8.280000000000001,1488.3000000000002,124.95,53.300000000000004,0.0,2.952,0.216,25.272000000000002,7.954000000000001,3.68888,6.720999999999999
2018-02-03 15:00:00+02:00,8.74,1498.14,125.44,53.300000000000004,0.0,2.736,0.216,25.296,5.617,4.6111,6.677
2018-02-03 16:00:00+02:00,8.74,1463.7,128.87,53.300000000000004,0.0,2.712,1.272,25.296,2.173,3.68888,6.71
2018-02-03 17:00:00+02:00,8.51,1478.46,133.28,51.660000000000004,8.496,3.36,0.8160000000000001,25.272000000000002,0.246,4.6111,6.6659999999999995
2018-02-03 18:00:00+02:00,8.280000000000001,1573.5800000000002,140.63,51.660000000000004,8.712,4.056,7.5600000000000005,25.284,0.0,4.6111,6.534
2018-02-03 19:00:00+02:00,8.74,1539.14,143.57,50.02,8.256,4.392,6.12,25.296,0.0,4.6111,6.446
2018-02-03 20:00:00+02:00,8.97,1412.8600000000001,143.07999999999998,50.84,12.432,3.648,1.176,25.26,0.0,3.68888,6.236999999999999
2018-02-03 21:00:00+02:00,8.97,1438.2800000000002,143.07999999999998,48.38,8.496,3.192,0.216,25.284,0.0,4.6111,6.05
2018-02-03 22:00:00+02:00,8.74,1420.24,144.06,48.38,6.072,3.168,0.216,25.308,0.0,4.6111,5.840999999999999
2018-02-03 23:00:00+02:00,8.74,1417.7800000000002,144.55,48.38,1.248,3.096,0.216,25.308,0.0,4.6111,5.598999999999999
2018-02-04 00:00:00+02:00,8.74,1435.0,143.07999999999998,54.120000000000005,0.0,3.0,0.216,25.284,0.0,3.68888,5.412
2018-02-04 01:00:00+02:00,8.74,1417.7800000000002,143.07999999999998,53.300000000000004,0.0,2.88,0.216,25.248,0.0,3.68888,5.379
2018-02-04 02:00:00+02:00,8.51,1443.2,143.07999999999998,53.300000000000004,0.0,2.88,0.216,25.272000000000002,0.0,4.6111,4.026
2018-02-04 03:00:00+02:00,8.74,1486.66,144.06,48.38,0.0,3.24,0.216,25.284,0.0,4.6111,2.783
