,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore
2018-04-01 00:00:00+02:00,70.84,188.16,112.34,0.0,0.0,13.392,69.21600000000001,5.472,18.040000000000003,,0.0,92.22200000000001,15.047999999999998
2018-04-01 00:15:00+02:00,70.84,177.38,111.52000000000001,0.0,0.0,10.896,69.048,5.496,18.040000000000003,,0.0,92.22200000000001,15.784999999999998
2018-04-01 00:30:00+02:00,70.84,172.97,110.7,0.0,0.0,10.008000000000001,69.288,4.68,18.040000000000003,,0.0,92.22200000000001,16.016
2018-04-01 00:45:00+02:00,70.84,173.46,110.7,0.0,0.0,8.784,69.864,3.7920000000000003,18.040000000000003,,0.0,92.22200000000001,16.302
2018-04-01 01:00:00+02:00,70.84,160.23,109.88000000000001,0.0,0.0,5.424,71.136,3.6,18.040000000000003,,0.0,92.22200000000001,16.5
2018-04-01 01:15:00+02:00,70.84,150.92,109.88000000000001,0.0,0.0,4.152,70.656,3.504,18.040000000000003,,0.0,92.22200000000001,16.445
2018-04-01 01:30:00+02:00,69.92,150.92,110.7,0.0,0.0,2.328,71.16,2.8080000000000003,18.040000000000003,,0.0,92.22200000000001,16.477999999999998
2018-04-01 01:45:00+02:00,69.92,151.41,111.52000000000001,0.0,0.0,0.0,71.568,3.864,18.040000000000003,,0.0,92.22200000000001,17.479
2018-04-01 02:00:00+02:00,69.92,143.07999999999998,109.88000000000001,0.0,0.0,0.0,71.4,5.832,18.040000000000003,,0.0,92.22200000000001,18.337
2018-04-01 02:15:00+02:00,69.92,140.14,108.24000000000001,0.0,0.0,0.0,71.424,3.672,18.040000000000003,,0.0,92.22200000000001,18.116999999999997
2018-04-01 02:30:00+02:00,69.92,140.63,109.06,0.0,0.0,0.0,71.28,2.616,18.040000000000003,,0.0,92.22200000000001,19.272
2018-04-01 02:45:00+02:00,69.92,139.16,109.06,0.0,0.0,0.0,70.70400000000001,2.136,18.040000000000003,,0.0,92.22200000000001,19.514
2018-04-01 03:00:00+02:00,69.92,126.91,108.24000000000001,0.0,0.0,0.0,71.016,2.232,18.040000000000003,,0.0,92.22200000000001,21.098
2018-04-01 03:15:00+02:00,69.92,119.56,109.06,0.0,0.0,0.0,70.128,2.496,18.040000000000003,,0.0,92.22200000000001,23.595
2018-04-01 03:30:00+02:00,69.92,121.03,108.24000000000001,0.0,0.0,0.0,70.656,2.856,18.040000000000003,,0.0,92.22200000000001,24.211
2018-04-01 03:45:00+02:00,69.92,120.05,108.24000000000001,0.0,0.0,0.0,70.824,2.8080000000000003,18.040000000000003,,0.0,92.22200000000001,24.552
2018-04-01 04:00:00+02:00,69.92,120.05,108.24000000000001,0.0,0.0,0.0,70.872,2.7840000000000003,18.040000000000003,,0.0,92.22200000000001,25.607999999999997
2018-04-01 04:15:00+02:00,69.92,120.05,108.24000000000001,0.0,0.0,0.0,70.656,2.424,18.040000000000003,,0.0,92.22200000000001,26.334
2018-04-01 04:30:00+02:00,69.92,119.56,109.88000000000001,0.0,0.0,0.0,70.968,2.376,18.040000000000003,,0.0,92.22200000000001,26.697
2018-04-01 04:45:00+02:00,69.92,119.07,117.26,0.0,0.0,0.0,70.776,2.16,18.040000000000003,,0.0,92.22200000000001,27.488999999999997
2018-04-01 05:00:00+02:00,69.92,119.56,123.82000000000001,0.0,0.0,0.0,70.992,2.2560000000000002,18.040000000000003,,0.0,92.22200000000001,27.874
2018-04-01 05:15:00+02:00,69.92,119.07,124.64000000000001,0.0,0.0,0.0,71.136,2.184,18.040000000000003,,0.0,92.22200000000001,28.369
2018-04-01 05:30:00+02:00,69.92,119.07,125.46000000000001,0.0,0.0,0.0,71.04,2.088,18.040000000000003,,0.0,92.22200000000001,28.534
2018-04-01 05:45:00+02:00,69.92,119.56,124.64000000000001,0.0,0.0,0.0,70.92,2.16,18.040000000000003,,0.0,92.22200000000001,28.677
2018-04-01 06:00:00+02:00,69.92,119.56,124.64000000000001,0.0,0.0,0.0,71.47200000000001,2.472,18.040000000000003,,0.082,92.22200000000001,28.665999999999997
2018-04-01 06:15:00+02:00,69.92,123.97,125.46000000000001,0.0,0.0,0.0,71.376,2.448,18.040000000000003,,0.20500000000000002,92.22200000000001,28.743
