,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2018-05-01 00:00:00+02:00,173.95,41.952,193.584,180.4,5.731
2018-05-01 01:00:00+02:00,173.95,41.904,180.648,181.22000000000003,5.994999999999999
2018-05-01 02:00:00+02:00,173.46,41.856,163.848,180.4,5.874
2018-05-01 03:00:00+02:00,173.95,41.664,161.28,179.58,6.005999999999999
2018-05-01 04:00:00+02:00,174.44,41.664,163.512,179.58,6.082999999999999
2018-05-01 05:00:00+02:00,172.97,41.664,167.376,177.94000000000003,5.928999999999999
2018-05-01 06:00:00+02:00,173.95,41.664,195.288,177.12,5.7749999999999995
2018-05-01 07:00:00+02:00,174.93,41.928000000000004,214.536,176.3,5.412
2018-05-01 08:00:00+02:00,174.93,41.928000000000004,236.376,174.66000000000003,5.027
2018-05-01 09:00:00+02:00,172.97,41.856,265.272,172.20000000000002,4.851
2018-05-01 10:00:00+02:00,174.44,41.832,270.648,169.74,4.630999999999999
2018-05-01 11:00:00+02:00,175.91,42.024,268.008,166.46,4.146999999999999
2018-05-01 12:00:00+02:00,176.4,42.024,267.24,164.82000000000002,3.751
2018-05-01 13:00:00+02:00,177.87,41.976,253.584,164.82000000000002,3.355
2018-05-01 14:00:00+02:00,177.38,42.024,240.168,164.82000000000002,2.9699999999999998
2018-05-01 15:00:00+02:00,176.89,41.976,234.048,164.0,2.662
2018-05-01 16:00:00+02:00,175.42,42.0,233.424,164.82000000000002,2.497
2018-05-01 17:00:00+02:00,175.91,42.12,238.536,164.82000000000002,2.6839999999999997
2018-05-01 18:00:00+02:00,175.42,42.144,238.008,164.82000000000002,2.794
2018-05-01 19:00:00+02:00,176.89,42.144,234.45600000000002,164.82000000000002,2.4749999999999996
2018-05-01 20:00:00+02:00,176.4,42.168,224.568,164.82000000000002,2.7169999999999996
2018-05-01 21:00:00+02:00,175.91,42.192,219.576,164.82000000000002,3.014
2018-05-01 22:00:00+02:00,175.91,42.192,215.64000000000001,164.82000000000002,3.2119999999999997
2018-05-01 23:00:00+02:00,174.93,42.216,197.928,165.64000000000001,3.2009999999999996
2018-05-02 00:00:00+02:00,176.89,42.072,191.16,164.82000000000002,2.739
2018-05-02 01:00:00+02:00,177.87,42.072,166.488,164.82000000000002,2.7279999999999998
2018-05-02 02:00:00+02:00,177.38,42.024,150.984,166.46,2.8379999999999996
2018-05-02 03:00:00+02:00,178.35999999999999,42.024,155.928,169.74,2.8819999999999997
2018-05-02 04:00:00+02:00,178.35999999999999,42.0,170.184,173.02,3.3219999999999996
2018-05-02 05:00:00+02:00,177.87,41.952,217.12800000000001,209.10000000000002,3.6959999999999997
2018-05-02 06:00:00+02:00,178.35999999999999,41.832,316.752,315.70000000000005,3.5199999999999996
2018-05-02 07:00:00+02:00,177.87,42.216,381.264,321.44,3.8939999999999997
2018-05-02 08:00:00+02:00,178.85,42.192,389.784,312.42,4.499
2018-05-02 09:00:00+02:00,167.57999999999998,42.216,373.776,303.40000000000003,4.818
2018-05-02 10:00:00+02:00,168.56,42.144,363.648,304.22,5.082
2018-05-02 11:00:00+02:00,166.10999999999999,42.12,358.224,304.22,5.6209999999999996
2018-05-02 12:00:00+02:00,142.1,42.216,345.312,304.22,5.588
2018-05-02 13:00:00+02:00,158.76,42.24,313.632,306.68,5.840999999999999
2018-05-02 14:00:00+02:00,164.15,42.288000000000004,303.432,165.64000000000001,5.951
2018-05-02 15:00:00+02:00,164.64,42.312,316.224,166.46,6.093999999999999
2018-05-02 16:00:00+02:00,165.62,42.432,332.856,182.04000000000002,6.236999999999999
