,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Solar,Wind Onshore
2018-11-01 01:00:00+02:00,1662.96,642.39,0.0,0.0,1.104,0.0,0.418
2018-11-01 02:00:00+02:00,1555.5400000000002,654.15,0.0,0.0,1.1520000000000001,0.0,0.5499999999999999
2018-11-01 03:00:00+02:00,1471.0800000000002,649.25,0.0,0.0,1.104,0.0,0.7919999999999999
2018-11-01 04:00:00+02:00,1434.18,622.3,0.0,0.0,1.056,0.0,1.331
2018-11-01 05:00:00+02:00,1437.46,654.64,0.0,0.0,1.1520000000000001,0.0,2.057
2018-11-01 06:00:00+02:00,1507.98,676.6899999999999,0.0,0.0,4.272,0.0,2.6069999999999998
2018-11-01 07:00:00+02:00,1476.8200000000002,831.04,0.0,0.0,7.5120000000000005,3.403,2.75
2018-11-01 08:00:00+02:00,1437.46,893.76,0.0,0.0,7.056,17.343,2.5629999999999997
2018-11-01 09:00:00+02:00,1405.48,867.79,0.0,0.0,7.6080000000000005,30.709,2.1999999999999997
2018-11-01 10:00:00+02:00,1369.4,813.4,0.0,0.0,9.24,39.155,1.694
2018-11-01 11:00:00+02:00,1358.74,835.4499999999999,0.0,0.0,11.952,42.107,1.375
2018-11-01 12:00:00+02:00,1364.48,949.62,0.0,0.0,8.664,41.697,1.331
2018-11-01 13:00:00+02:00,1386.6200000000001,952.56,0.0,0.0,7.752,39.196000000000005,1.529
2018-11-01 14:00:00+02:00,1416.96,1060.36,0.0,0.0,3.48,30.217000000000002,1.4409999999999998
2018-11-01 15:00:00+02:00,1430.9,1096.1299999999999,0.0,0.0,3.432,18.573,1.672
2018-11-01 16:00:00+02:00,1391.5400000000002,1202.95,0.0,0.0,3.2880000000000003,7.011,1.7489999999999999
2018-11-01 17:00:00+02:00,1421.0600000000002,1333.29,0.0,0.0,4.776,0.369,2.541
2018-11-01 18:00:00+02:00,1648.2,1406.3,0.0,0.0,7.896,0.0,3.2449999999999997
2018-11-01 19:00:00+02:00,1696.5800000000002,1325.94,0.0,1.584,10.872,0.0,3.5639999999999996
2018-11-01 20:00:00+02:00,1621.14,1314.67,0.0,0.048,7.08,0.0,3.707
2018-11-01 21:00:00+02:00,1499.7800000000002,1284.29,0.0,0.0,3.3120000000000003,0.0,3.465
2018-11-01 22:00:00+02:00,1383.3400000000001,1046.15,0.0,0.0,2.52,0.0,3.872
2018-11-01 23:00:00+02:00,1377.6000000000001,923.16,0.0,0.0,2.856,0.0,4.026
2018-11-02 00:00:00+02:00,1420.24,612.01,0.0,0.0,2.832,0.0,4.774
2018-11-02 01:00:00+02:00,1455.5,450.31,0.0,0.0,1.728,0.0,5.181
2018-11-02 02:00:00+02:00,1475.18,384.65,0.0,0.0,0.552,0.0,5.951
2018-11-02 03:00:00+02:00,1430.0800000000002,369.95,0.0,0.0,0.528,0.0,6.523
2018-11-02 04:00:00+02:00,1405.48,391.02,0.0,0.0,0.648,0.0,6.699
2018-11-02 05:00:00+02:00,1412.0400000000002,412.58,0.0,0.0,0.6960000000000001,0.0,6.875
2018-11-02 06:00:00+02:00,1553.9,437.08,0.0,0.0,2.688,0.0,6.885999999999999
2018-11-02 07:00:00+02:00,1673.6200000000001,493.43,0.0,0.0,8.040000000000001,4.51,7.1499999999999995
2018-11-02 08:00:00+02:00,1605.5600000000002,600.25,0.0,0.0,3.552,22.919,7.3149999999999995
2018-11-02 09:00:00+02:00,1491.5800000000002,624.75,0.0,0.0,3.72,41.082,7.414
2018-11-02 10:00:00+02:00,1425.16,549.29,0.0,0.0,3.7680000000000002,52.234,7.403
2018-11-02 11:00:00+02:00,1392.3600000000001,550.76,0.0,0.0,2.976,56.703,7.249
2018-11-02 12:00:00+02:00,1396.46,547.8199999999999,0.0,0.0,3.7920000000000003,56.785000000000004,7.3149999999999995
2018-11-02 13:00:00+02:00,1406.3000000000002,591.43,0.0,0.0,2.184,51.947,7.215999999999999
2018-11-02 14:00:00+02:00,1453.0400000000002,595.84,0.0,0.0,1.368,41.246,7.568
2018-11-02 15:00:00+02:00,1451.4,691.39,0.0,0.0,1.1280000000000001,25.789,7.1499999999999995
2018-11-02 16:00:00+02:00,1470.2600000000002,866.81,0.0,0.12,0.84,8.692,7.084
2018-11-02 17:00:00+02:00,1533.4,1029.49,0.0,2.544,6.048,0.328,7.843
2018-11-02 18:00:00+02:00,1599.0000000000002,1064.77,0.0,6.408,13.032,0.0,8.261
2018-11-02 19:00:00+02:00,1608.0200000000002,1094.66,0.0,5.328,15.072000000000001,0.0,8.876999999999999
2018-11-02 20:00:00+02:00,1569.48,1035.37,0.0,0.744,10.944,0.0,9.283999999999999
2018-11-02 21:00:00+02:00,1509.6200000000001,872.6899999999999,0.0,0.0,4.2,0.0,9.933
2018-11-02 22:00:00+02:00,1466.98,690.41,0.0,0.0,2.7600000000000002,0.0,9.658
2018-11-02 23:00:00+02:00,1384.98,613.48,0.0,0.0,2.136,0.0,10.460999999999999
2018-11-03 00:00:00+02:00,1298.0600000000002,396.40999999999997,0.0,0.0,3.3120000000000003,0.0,10.703
2018-11-03 01:00:00+02:00,1333.3200000000002,246.47,0.0,0.0,2.136,0.0,10.802
2018-11-03 02:00:00+02:00,1328.4,202.37,0.0,0.0,1.8,0.0,11.308
2018-11-03 03:00:00+02:00,1330.8600000000001,208.25,0.0,0.0,1.6320000000000001,0.0,11.748
2018-11-03 04:00:00+02:00,1342.3400000000001,188.65,0.0,0.0,1.44,0.0,11.66
2018-11-03 05:00:00+02:00,1335.7800000000002,213.15,0.0,0.0,1.464,0.0,11.879999999999999
2018-11-03 06:00:00+02:00,1330.0400000000002,237.65,0.0,0.0,1.968,0.0,12.056
2018-11-03 07:00:00+02:00,1294.7800000000002,267.05,0.0,0.0,3.744,4.305000000000001,12.705
2018-11-03 08:00:00+02:00,1408.7600000000002,329.28,0.0,0.0,5.472,21.73,12.705
2018-11-03 09:00:00+02:00,1419.42,313.11,0.0,0.0,4.848,38.786,12.924999999999999
2018-11-03 10:00:00+02:00,1337.42,317.52,0.0,0.0,3.648,49.651,13.475
2018-11-03 11:00:00+02:00,1279.2,346.43,0.0,0.0,1.872,54.858000000000004,13.244
2018-11-03 12:00:00+02:00,1299.7,387.59,0.0,0.0,3.096,54.284,12.661
2018-11-03 13:00:00+02:00,1411.22,428.26,0.0,0.0,1.56,49.2,11.725999999999999
2018-11-03 14:00:00+02:00,1364.48,509.59999999999997,0.0,0.0,1.3920000000000001,39.893,11.407
2018-11-03 15:00:00+02:00,1280.0200000000002,621.81,0.0,0.0,1.1280000000000001,27.101000000000003,11.638
2018-11-03 16:00:00+02:00,1202.1200000000001,771.26,0.0,0.0,1.3920000000000001,9.717,11.792
2018-11-03 17:00:00+02:00,1249.68,815.85,0.0,1.296,7.44,0.328,12.341999999999999
2018-11-03 18:00:00+02:00,1321.8400000000001,856.52,0.0,5.76,22.152,0.0,12.661
2018-11-03 19:00:00+02:00,1327.5800000000002,858.48,0.0,6.96,22.008,0.0,12.825999999999999
2018-11-03 20:00:00+02:00,1326.76,857.5,0.0,4.464,20.688,0.0,12.76
2018-11-03 21:00:00+02:00,1401.38,862.89,0.0,0.936,5.016,0.0,12.770999999999999
2018-11-03 22:00:00+02:00,1310.3600000000001,720.79,0.0,0.0,2.232,0.0,12.584
2018-11-03 23:00:00+02:00,1220.16,592.41,0.0,0.0,1.6320000000000001,0.0,12.815
2018-11-04 00:00:00+02:00,1108.64,381.71,0.0,0.0,2.88,0.0,12.991
2018-11-04 01:00:00+02:00,1111.92,282.73,0.0,0.0,2.736,0.0,12.738
2018-11-04 02:00:00+02:00,1076.66,273.42,0.0,0.0,1.512,0.0,13.2
2018-11-04 03:00:00+02:00,1074.2,272.93,0.0,0.0,2.208,0.0,13.309999999999999
2018-11-04 04:00:00+02:00,1071.74,272.93,0.0,0.0,2.184,0.0,13.222
2018-11-04 05:00:00+02:00,1070.1000000000001,272.93,0.0,0.0,2.184,0.0,13.805
2018-11-04 06:00:00+02:00,1069.28,275.38,0.0,0.0,2.952,0.0,13.738999999999999
2018-11-04 07:00:00+02:00,1115.2,293.02,0.0,0.0,5.232,3.7310000000000003,13.706
2018-11-04 08:00:00+02:00,1138.16,283.71,0.0,0.0,3.024,20.5,13.354
2018-11-04 09:00:00+02:00,1087.3200000000002,272.93,0.0,0.0,1.872,38.95,12.892
2018-11-04 10:00:00+02:00,1056.98,272.44,0.0,0.0,2.568,50.143,12.705
2018-11-04 11:00:00+02:00,1030.74,277.34,0.0,0.0,3.648,56.252,12.067
2018-11-04 12:00:00+02:00,1053.7,334.18,0.0,0.0,2.64,56.375,11.737
2018-11-04 13:00:00+02:00,1036.48,385.14,0.0,0.0,1.8,51.127,11.351999999999999
2018-11-04 14:00:00+02:00,1043.0400000000002,380.24,0.0,0.0,1.6560000000000001,39.975,11.197999999999999
2018-11-04 15:00:00+02:00,1108.64,477.75,0.0,0.0,2.184,26.199,10.559999999999999
2018-11-04 16:00:00+02:00,1206.22,711.48,0.0,0.0,1.584,6.847,9.822999999999999
2018-11-04 17:00:00+02:00,1242.3000000000002,866.81,0.0,1.056,6.312,0.164,9.514999999999999
2018-11-04 18:00:00+02:00,1257.0600000000002,966.77,0.0,6.48,18.84,0.0,9.338999999999999
2018-11-04 19:00:00+02:00,1313.64,955.5,0.0,6.096,19.92,0.0,9.196
2018-11-04 20:00:00+02:00,1312.8200000000002,938.35,0.0,6.192,17.016000000000002,0.0,8.745
2018-11-04 21:00:00+02:00,1275.1000000000001,898.17,0.0,2.376,7.992,0.0,8.635
2018-11-04 22:00:00+02:00,1168.5,836.92,0.0,0.0,6.888,0.0,8.712
2018-11-04 23:00:00+02:00,1135.7,718.34,0.0,0.0,3.744,0.0,8.514
2018-11-05 00:00:00+02:00,1129.96,610.05,0.0,0.0,2.928,0.0,8.327
2018-11-05 01:00:00+02:00,1135.7,466.96999999999997,0.0,0.0,3.576,0.0,7.9639999999999995
2018-11-05 02:00:00+02:00,1149.64,469.42,0.0,0.0,3.888,0.0,7.050999999999999
2018-11-05 03:00:00+02:00,1210.3200000000002,432.18,0.0,0.0,3.528,0.0,6.776
2018-11-05 04:00:00+02:00,1379.24,391.02,0.0,0.0,1.488,0.0,6.226
2018-11-05 05:00:00+02:00,1433.3600000000001,420.90999999999997,0.0,0.0,2.232,0.0,5.797
2018-11-05 06:00:00+02:00,1489.1200000000001,483.14,0.0,0.0,5.856,0.0,5.686999999999999
2018-11-05 07:00:00+02:00,1510.44,669.34,0.0,0.0,10.464,4.182,5.412
2018-11-05 08:00:00+02:00,1505.5200000000002,822.71,0.0,0.0,12.984,18.45,5.731
2018-11-05 09:00:00+02:00,1441.5600000000002,923.65,0.0,0.0,12.408,32.349000000000004,5.444999999999999
2018-11-05 10:00:00+02:00,1353.8200000000002,900.13,0.0,0.0,10.248,42.066,5.433999999999999
2018-11-05 11:00:00+02:00,1281.66,884.9399999999999,0.0,0.0,7.44,46.904,5.148
