,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2019-01-01 00:00:00+01:00,0.5175000000000001,496.7375,525.21,0.0,1.458,307.5,0.0,31.35548,2.424,1.9277499999999999
2019-01-01 00:15:00+01:00,0.5175000000000001,512.785,537.3050000000001,0.0,1.455,304.63,0.0,31.81659,2.412,1.91675
2019-01-01 00:30:00+01:00,0.46,508.2525,538.945,0.0,1.455,300.53000000000003,0.0,31.586035000000003,2.424,1.9662499999999998
2019-01-01 00:45:00+01:00,0.46,503.23,536.69,0.0,1.455,309.14000000000004,0.0,31.586035000000003,2.436,1.9277499999999999
2019-01-01 01:00:00+01:00,0.46,478.1175,538.33,0.0,1.458,312.01000000000005,0.0,31.586035000000003,2.43,1.89475
2019-01-01 01:15:00+01:00,0.46,472.4825,539.355,0.0,1.455,308.115,0.0,31.35548,2.418,1.9277499999999999
2019-01-01 01:30:00+01:00,0.46,459.2525,537.1,0.0,1.455,308.935,0.0,31.35548,2.445,2.03225
2019-01-01 01:45:00+01:00,0.46,440.51,532.7950000000001,0.0,1.455,312.625,0.0,31.124925,2.448,2.1229999999999998
2019-01-01 02:00:00+01:00,0.46,441.98,510.86,0.0,1.455,320.62,0.0,31.35548,2.436,2.1505
2019-01-01 02:15:00+01:00,0.46,462.805,506.35,0.0,1.455,321.03000000000003,0.0,30.894370000000002,2.442,2.167
2019-01-01 02:30:00+01:00,0.46,445.9,506.14500000000004,0.0,1.455,324.31,0.0,30.894370000000002,2.49,2.2329999999999997
2019-01-01 02:45:00+01:00,0.46,427.8925,501.225,0.0,1.455,328.20500000000004,0.0,31.35548,2.49,2.2962499999999997
2019-01-01 03:00:00+01:00,0.46,428.26,506.14500000000004,0.0,1.455,323.08000000000004,0.0,31.35548,2.508,2.376
2019-01-01 03:15:00+01:00,0.46,429.8525,505.32500000000005,0.0,1.455,327.59000000000003,0.0,31.35548,2.523,2.40625
2019-01-01 03:30:00+01:00,0.46,419.44,498.15000000000003,0.0,1.455,328.615,0.0,31.35548,2.517,2.4419999999999997
2019-01-01 03:45:00+01:00,0.46,399.84,491.59000000000003,0.0,1.455,334.355,0.0,32.047145,2.532,2.4419999999999997
2019-01-01 04:00:00+01:00,0.46,388.08,483.18500000000006,0.0,1.458,333.125,0.0,31.586035000000003,2.529,2.4585
2019-01-01 04:15:00+01:00,0.46,392.6125,479.29,0.0,1.455,334.56,0.0,30.43326,2.517,2.5437499999999997
2019-01-01 04:30:00+01:00,0.46,387.4675,480.11,0.0,1.455,331.69,0.0,30.894370000000002,2.517,2.6069999999999998
2019-01-01 04:45:00+01:00,0.46,377.1775,473.96000000000004,0.0,1.455,343.785,0.0,30.894370000000002,2.529,2.6675
2019-01-01 05:00:00+01:00,0.46,422.0125,495.07500000000005,0.0,1.455,351.57500000000005,0.0,30.894370000000002,2.532,2.72525
2019-01-01 05:15:00+01:00,0.46,411.72249999999997,517.01,0.0,1.455,349.52500000000003,0.0,31.35548,2.5260000000000002,2.7472499999999997
2019-01-01 05:30:00+01:00,0.46,402.1675,521.11,0.0,1.455,346.04,0.0,31.586035000000003,2.523,2.8104999999999998
2019-01-01 05:45:00+01:00,0.46,396.9,524.39,0.0,1.455,347.06500000000005,0.0,31.586035000000003,2.532,2.8297499999999998
2019-01-01 06:00:00+01:00,0.46,417.6025,503.48,0.0,1.455,353.01000000000005,0.0,30.894370000000002,2.532,2.83525
2019-01-01 06:15:00+01:00,0.4025,437.2025,500.81500000000005,0.0,1.455,347.06500000000005,0.0,30.663815,2.529,2.87375
2019-01-01 06:30:00+01:00,0.4025,434.7525,500.40500000000003,0.0,1.455,353.625,0.0,30.894370000000002,2.5260000000000002,2.8215
2019-01-01 06:45:00+01:00,0.4025,434.63,497.33000000000004,0.0,1.455,353.83000000000004,0.0,31.35548,2.523,2.75275
2019-01-01 07:00:00+01:00,0.4025,420.42,482.77500000000003,0.0,1.455,352.805,0.0,31.586035000000003,2.535,2.7802499999999997
2019-01-01 07:15:00+01:00,0.4025,424.9525,478.47,0.0,1.455,352.805,0.0,31.35548,2.541,2.8104999999999998
2019-01-01 07:30:00+01:00,0.4025,424.2175,482.16,0.0,1.455,349.73,0.0,31.586035000000003,2.547,2.7555
2019-01-01 07:45:00+01:00,0.46,447.0025,484.82500000000005,0.0,1.455,344.81,0.0,31.35548,2.5380000000000003,2.7472499999999997
2019-01-01 08:00:00+01:00,0.46,449.6975,498.97,0.0,1.455,338.66,0.0,31.35548,2.511,2.6592499999999997
2019-01-01 08:15:00+01:00,0.46,461.58,493.845,0.0,1.455,334.76500000000004,0.0,31.35548,2.49,2.794
2019-01-01 08:30:00+01:00,0.46,477.1375,495.69000000000005,0.0,1.455,335.175,0.0,31.35548,2.448,2.673
2019-01-01 08:45:00+01:00,0.46,495.635,487.08000000000004,0.0,1.458,329.23,0.0,31.124925,2.469,2.3815
2019-01-01 09:00:00+01:00,0.46,540.1025,486.46500000000003,0.0,1.455,331.485,0.0,31.35548,2.445,2.10925
2019-01-01 09:15:00+01:00,0.46,553.21,499.58500000000004,0.0,1.455,334.15000000000003,0.0,31.81659,2.391,1.9745
2019-01-01 09:30:00+01:00,0.4025,558.9675,478.47,0.0,1.455,342.76000000000005,0.0,30.663815,2.424,2.01025
2019-01-01 09:45:00+01:00,0.4025,589.8375,388.88500000000005,0.0,1.455,352.19000000000005,0.0,30.894370000000002,2.3850000000000002,2.1065
2019-01-01 10:00:00+01:00,0.4025,612.3774999999999,400.57000000000005,0.0,1.455,379.045,0.0,30.663815,2.3040000000000003,2.1752499999999997
2019-01-01 10:15:00+01:00,0.46,620.4625,412.665,0.0,1.455,399.75000000000006,0.0,30.894370000000002,2.1510000000000002,2.28525
2019-01-01 10:30:00+01:00,0.46,598.78,401.39000000000004,0.0,1.455,410.41,0.0,30.663815,2.232,2.30725
2019-01-01 10:45:00+01:00,0.46,618.87,407.54,0.0,1.455,408.56500000000005,0.0,30.894370000000002,2.226,2.2329999999999997
2019-01-01 11:00:00+01:00,0.46,638.1025,411.64000000000004,0.0,1.458,416.97,0.0,30.663815,2.2560000000000002,2.2605
2019-01-01 11:15:00+01:00,0.46,640.43,414.51000000000005,0.0,1.455,428.86,0.0,30.663815,2.229,2.3347499999999997
2019-01-01 11:30:00+01:00,0.46,626.8325,410.20500000000004,0.0,1.455,443.82500000000005,0.0,30.43326,2.2560000000000002,2.4695
2019-01-01 11:45:00+01:00,0.46,629.65,409.59000000000003,0.0,1.455,439.52000000000004,0.0,31.124925,2.319,2.4915
2019-01-01 12:00:00+01:00,0.46,649.3725,412.665,0.0,1.455,432.96000000000004,0.0,31.586035000000003,2.298,2.3539999999999996
2019-01-01 12:15:00+01:00,0.46,643.9825,399.75000000000006,0.0,1.455,431.93500000000006,0.0,31.35548,2.265,2.3485
2019-01-01 12:30:00+01:00,0.46,656.9675,401.595,0.0,1.455,435.83000000000004,0.0,30.663815,2.394,2.26875
2019-01-01 12:45:00+01:00,0.46,654.15,399.13500000000005,0.0,1.455,440.545,0.0,30.663815,2.52,2.34575
2019-01-01 13:00:00+01:00,0.46,669.34,391.96000000000004,0.0,1.455,430.70500000000004,0.0,30.894370000000002,2.472,2.387
2019-01-01 13:15:00+01:00,0.46,666.2775,391.345,0.0,1.455,415.33000000000004,0.0,31.35548,2.478,2.3375
2019-01-01 13:30:00+01:00,0.46,662.8475,404.87500000000006,0.0,1.455,410.615,0.0,31.35548,2.496,2.36225
2019-01-01 13:45:00+01:00,0.46,651.9449999999999,404.87500000000006,0.0,1.455,411.23,0.0,30.894370000000002,2.5140000000000002,2.43375
2019-01-01 14:00:00+01:00,0.46,644.35,403.44000000000005,0.0,1.455,402.82500000000005,0.0,30.663815,2.52,2.5025
2019-01-01 14:15:00+01:00,0.46,635.775,404.67,0.0,1.455,400.16,0.0,31.35548,2.442,2.651
2019-01-01 14:30:00+01:00,0.46,644.7175,405.285,0.0,1.455,402.415,0.0,31.81659,2.475,2.7169999999999996
2019-01-01 14:45:00+01:00,0.46,636.6324999999999,404.87500000000006,0.0,1.455,407.33500000000004,0.0,30.663815,2.52,2.7994999999999997
2019-01-01 15:00:00+01:00,0.4025,645.6975,410.615,0.0,1.455,415.535,0.0,30.894370000000002,2.52,2.76925
2019-01-01 15:15:00+01:00,0.46,649.1274999999999,432.14000000000004,0.0,1.455,416.15000000000003,0.0,30.894370000000002,2.49,2.8242499999999997
2019-01-01 15:30:00+01:00,0.4025,643.2475,439.31500000000005,0.0,1.455,418.61,0.0,30.43326,2.493,2.7775
2019-01-01 15:45:00+01:00,0.4025,641.655,440.95500000000004,0.0,1.455,421.89000000000004,0.0,30.43326,2.496,2.8682499999999997
2019-01-01 16:00:00+01:00,0.4025,620.4625,452.23,0.0,1.452,426.81000000000006,0.0,30.663815,2.46,2.8985
2019-01-01 16:15:00+01:00,0.46,625.3625,454.28000000000003,0.0,1.452,422.915,0.0,30.894370000000002,2.505,2.9589999999999996
2019-01-01 16:30:00+01:00,0.46,625.1175,457.15000000000003,0.0,1.452,434.6,0.0,29.972150000000003,2.532,2.981
2019-01-01 16:45:00+01:00,0.46,636.1425,477.65000000000003,0.0,1.452,445.87500000000006,0.0,29.972150000000003,2.523,3.157
2019-01-01 17:00:00+01:00,0.46,630.63,490.975,0.0,1.452,471.91,0.0,30.43326,2.448,3.1184999999999996
2019-01-01 17:15:00+01:00,0.46,652.435,470.88500000000005,0.0,1.455,484.00500000000005,0.0,31.35548,2.52,3.1817499999999996
2019-01-01 17:30:00+01:00,0.46,674.1175,467.81000000000006,0.0,1.455,497.535,0.0,31.81659,2.529,3.17625
