,date,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
0,2020-05-01 00:00:00+02:00,76.36,266.56,10.66,101.887,2.856,135.96,28.584,372.528,0,170.6107,76.813
1,2020-05-01 01:00:00+02:00,76.36,266.56,10.66,101.887,,130.656,21.336,342.48,0,171.53292,78.672
2,2020-05-01 02:00:00+02:00,76.36,267.05,10.66,100.421,,126.744,21.528,335.604,0,170.6107,78.254
3,2020-05-01 03:00:00+02:00,76.36,264.6,10.66,98.955,,121.464,20.664,335.328,0,169.68848,75.416
4,2020-05-01 04:00:00+02:00,76.59,261.66,10.66,98.955,,119.208,16.368,331.944,0,170.6107,73.007
5,2020-05-01 05:00:00+02:00,76.36,262.64,10.66,98.955,,118.584,17.016,326.94,0,169.68848,70.455
6,2020-05-01 06:00:00+02:00,76.36,264.11,10.66,98.955,,119.304,16.416,325.596,5.494,168.76626,67.914
7,2020-05-01 07:00:00+02:00,76.36,263.13,10.66,97.489,,121.272,19.296,322.488,10.783,167.84404,67.54
8,2020-05-01 08:00:00+02:00,76.59,260.68,10.66,97.489,,127.08,26.352,328.14,28.454,165.9996,67.375
9,2020-05-01 09:00:00+02:00,76.36,257.74,10.66,98.955,,131.496,26.688,329.088,55.391,165.07738,68.189
10,2020-05-01 10:00:00+02:00,76.36,255.78,10.66,98.955,,131.688,26.664,334.056,85.567,165.07738,71.214
11,2020-05-01 11:00:00+02:00,76.59,262.15,9.84,98.955,,130.8,27.072,335.196,106.641,164.15516,72.71
12,2020-05-01 12:00:00+02:00,76.82,260.68,5.74,98.955,,123.336,35.856,339.78,114.021,163.23294,72.963
13,2020-05-01 13:00:00+02:00,76.82,252.35,5.74,98.955,,117.096,33.096,338.544,110.659,164.15516,75.988
14,2020-05-01 14:00:00+02:00,76.59,255.78,5.74,101.154,,114.96,25.224,340.584,104.468,163.23294,77.11
15,2020-05-01 15:00:00+02:00,76.59,258.72,9.02,101.887,,113.736,27.696,339.48,108.363,163.23294,81.488
16,2020-05-01 16:00:00+02:00,76.59,253.33,9.02,101.887,,115.08,18.96,335.52,107.133,162.31072,88.187
17,2020-05-01 17:00:00+02:00,76.59,257.25,9.02,101.887,,123.864,22.584,351.696,89.175,162.31072,90.134
18,2020-05-01 18:00:00+02:00,76.59,258.23,8.2,101.887,,133.44,27.024,361.836,61.746,163.23294,90.332
19,2020-05-01 19:00:00+02:00,76.36,265.09,9.02,101.887,7.944,138.288,27.744,372.024,27.429,163.23294,88.572
20,2020-05-01 20:00:00+02:00,76.36,257.25,9.02,101.887,14.472,142.392,27.336,382.872,9.348,162.31072,77.407
21,2020-05-01 21:00:00+02:00,76.36,260.19,9.02,101.887,15.528,151.272,33.768,384.768,5.33,164.15516,72.182
22,2020-05-01 22:00:00+02:00,75.9,261.17,9.02,101.154,28.896,150.408,41.952,392.268,0,165.07738,68.816
23,2020-05-01 23:00:00+02:00,75.9,263.13,9.02,101.154,20.424,147.384,31.104,396.804,0,165.07738,68.838
24,2020-05-02 00:00:00+02:00,75.9,261.66,9.02,101.887,6.48,145.224,28.56,392.16,0,165.9996,66.055
25,2020-05-02 01:00:00+02:00,76.36,258.72,9.02,101.887,,146.016,32.88,377.688,0,167.84404,59.95
26,2020-05-02 02:00:00+02:00,76.36,259.7,9.02,99.688,,140.016,21.984,374.844,0,169.68848,56.518
27,2020-05-02 03:00:00+02:00,76.36,261.17,8.2,98.222,,139.56,17.376,364.104,0,169.68848,54.527
28,2020-05-02 04:00:00+02:00,76.36,259.7,8.2,97.489,,138.504,17.16,370.188,0,168.76626,51.062
29,2020-05-02 05:00:00+02:00,76.13,262.64,8.2,97.489,,138.816,19.896,364.2,0,169.68848,47.267
30,2020-05-02 06:00:00+02:00,76.36,264.6,8.2,97.489,,143.544,20.712,364.464,5.576,168.76626,46.926
31,2020-05-02 07:00:00+02:00,75.21,259.21,8.2,97.489,,148.08,23.256,366.96,12.874,166.92182,43.483
32,2020-05-02 08:00:00+02:00,75.9,267.05,8.2,97.489,,153.96,25.8,365.58,36.08,163.23294,38.489
33,2020-05-02 09:00:00+02:00,75.67,257.74,8.2,97.489,,155.88,26.136,367.176,68.88,162.31072,40.865
34,2020-05-02 10:00:00+02:00,76.36,263.62,9.02,98.955,,155.928,25.248,361.644,101.229,160.46628,48.202
35,2020-05-02 11:00:00+02:00,76.36,259.21,11.48,100.421,,157.896,33.168,364.692,133.414,159.54406,50.655
36,2020-05-02 12:00:00+02:00,75.9,260.19,11.48,100.421,,153.24,35.304,365.892,147.19,160.46628,52.943
37,2020-05-02 13:00:00+02:00,75.44,263.13,11.48,100.421,,147.888,28.968,365.364,152.356,161.3885,52.107
38,2020-05-02 14:00:00+02:00,75.67,263.13,11.48,100.421,,139.584,26.184,360.144,154.324,161.3885,49.654
39,2020-05-02 15:00:00+02:00,75.9,260.68,11.48,100.421,,137.664,26.256,359.136,151.864,161.3885,45.122
40,2020-05-02 16:00:00+02:00,75.9,258.23,11.48,100.421,,136.8,33.576,359.412,131.897,161.3885,40.744
41,2020-05-02 17:00:00+02:00,75.9,259.7,11.48,100.421,,143.064,44.904,359.112,105.083,161.3885,37.576
42,2020-05-02 18:00:00+02:00,75.67,258.72,11.48,100.421,16.416,149.4,49.848,394.536,70.93,161.3885,33.231
43,2020-05-02 19:00:00+02:00,76.13,265.09,11.48,100.421,30.84,158.184,43.464,414.816,29.274,161.3885,29.249
44,2020-05-02 20:00:00+02:00,76.36,263.13,11.48,100.421,41.688,168.312,48.744,418.32,9.143,162.31072,25.784
45,2020-05-02 21:00:00+02:00,76.36,260.68,11.48,100.421,46.728,171.744,47.736,418.956,5.289,163.23294,26.092
46,2020-05-02 22:00:00+02:00,76.36,258.23,10.66,100.421,52.944,170.496,54.024,416.868,0,164.15516,25.025
47,2020-05-02 23:00:00+02:00,76.36,262.15,10.66,100.421,61.608,169.224,61.392,415.98,0,164.15516,23.672
48,2020-05-03 00:00:00+02:00,76.82,260.68,10.66,100.421,50.688,162.648,36.408,407.748,0,164.15516,22.869
49,2020-05-03 01:00:00+02:00,76.59,260.19,10.66,98.222,14.088,158.328,37.584,408.24,0,165.07738,23.034
50,2020-05-03 02:00:00+02:00,76.36,260.68,10.66,97.489,,151.2,33.72,411.684,0,166.92182,23.76
51,2020-05-03 03:00:00+02:00,76.13,262.64,10.66,99.688,,148.92,33.672,407.316,0,165.07738,23.826
52,2020-05-03 04:00:00+02:00,76.36,261.17,10.66,100.421,,147.312,36.768,407.16,0,165.9996,23.65
53,2020-05-03 05:00:00+02:00,76.36,261.17,10.66,99.688,,146.208,22.704,407.352,0,165.9996,23.661
54,2020-05-03 06:00:00+02:00,75.9,262.64,10.66,99.688,,148.224,20.448,404.28,5.863,162.31072,24.409
55,2020-05-03 07:00:00+02:00,76.36,259.21,10.66,99.688,,146.472,27.168,396.528,15.744,162.31072,25.256
56,2020-05-03 08:00:00+02:00,76.36,262.64,10.66,100.421,,151.968,29.592,394.392,47.929,161.3885,24.068
57,2020-05-03 09:00:00+02:00,76.36,262.15,10.66,100.421,,154.248,27.288,398.268,100.04,161.3885,22.209
58,2020-05-03 10:00:00+02:00,76.36,264.11,10.66,98.955,,156.024,30.552,404.76,145.222,160.46628,20.9
59,2020-05-03 11:00:00+02:00,76.36,259.7,10.66,98.955,,157.128,32.688,404.844,186.304,161.3885,20.273
